FileName,esoteric,esoteric_recover,esoteric_jsdec,esoteric_illu,esoteric_sd,esoteric_safe,fk,fk_recover,fk_jsdec,fk_illu,fk_sd,fk_safe
100063.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
100094.js,-1.0,1.0,-1.0,-1.0,0.09325048082403138,-1.0,1.0,1.0,-1.0,1.0,0.09325048082403138,1.0
100111.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
100217.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
100374.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
100482.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
100484.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
100561.js,0.048867777742522094,1.0,-1.0,0.08899883189799696,0.06810052246069989,0.052342392259021375,1.0,1.0,-1.0,1.0,0.06810052246069989,0.6324555320336759
100583.js,0.027317918235407655,1.0,-1.0,0.04975185951049946,0.09421683286017897,0.029437240470473185,1.0,1.0,-1.0,1.0,0.09421683286017897,0.5
100586.js,1.0,1.0,-1.0,1.0,0.026919095102908276,1.0,1.0,1.0,-1.0,1.0,0.026919095102908276,1.0
100610.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
100691.js,-1.0,1.0,-1.0,-1.0,0.21656642762976494,-1.0,0.9684747092264968,1.0,-1.0,1.0,0.21656642762976494,0.9684747092264968
100778.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
100815.js,1.0,1.0,-1.0,1.0,0.026919095102908276,1.0,1.0,1.0,-1.0,1.0,0.026919095102908276,1.0
100896.js,-1.0,1.0,-1.0,-1.0,0.27966182685271207,-1.0,0.946260733127703,1.0,-1.0,-1.0,0.27966182685271207,-1.0
101009.js,-1.0,1.0,-1.0,-1.0,0.12038585308576921,-1.0,1.0,1.0,-1.0,0.8944271909999159,0.12038585308576921,1.0
101085.js,-1.0,1.0,-1.0,-1.0,0.10469071079869613,-1.0,0.8838834764831844,1.0,-1.0,1.0,0.10469071079869613,0.8838834764831844
101196.js,0.21885688981825285,1.0,-1.0,0.30151134457776363,0.011478340719169698,-1.0,1.0,1.0,-1.0,1.0,0.011478340719169698,-1.0
101223.js,-1.0,1.0,-1.0,-1.0,0.09421683286017897,-1.0,1.0,1.0,-1.0,1.0,0.09421683286017897,1.0
101529.js,-1.0,1.0,-1.0,-1.0,0.09421683286017897,-1.0,1.0,1.0,-1.0,1.0,0.09421683286017897,1.0
101576.js,-1.0,1.0,-1.0,-1.0,0.10072203103706698,-1.0,1.0,1.0,-1.0,-1.0,0.10072203103706698,-1.0
101606.js,-1.0,1.0,-1.0,-1.0,0.03806934938134405,-1.0,0.7826237921249264,1.0,-1.0,1.0,0.03806934938134405,-1.0
101611.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
101709.js,-1.0,1.0,-1.0,-1.0,0.10469071079869613,-1.0,0.7826237921249264,1.0,-1.0,1.0,0.10469071079869613,0.7826237921249264
101800.js,-1.0,1.0,-1.0,-1.0,0.1217461883894185,-1.0,1.0,1.0,-1.0,1.0,0.1217461883894185,1.0
102055.js,-1.0,1.0,-1.0,-1.0,0.09421683286017897,-1.0,1.0,1.0,-1.0,1.0,0.09421683286017897,1.0
102202.js,-1.0,1.0,-1.0,-1.0,0.07770873402002615,-1.0,1.0,1.0,-1.0,1.0,0.07770873402002615,1.0
102658.js,-1.0,1.0,-1.0,-1.0,0.07770873402002615,-1.0,1.0,1.0,-1.0,1.0,0.07770873402002615,1.0
102694.js,-1.0,1.0,-1.0,-1.0,0.07770873402002615,-1.0,1.0,1.0,-1.0,1.0,0.07770873402002615,1.0
10292.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
102952.js,-1.0,1.0,-1.0,-1.0,0.07770873402002615,-1.0,1.0,1.0,-1.0,1.0,0.07770873402002615,1.0
103438.js,-1.0,1.0,-1.0,-1.0,0.07770873402002615,-1.0,1.0,1.0,-1.0,1.0,0.07770873402002615,1.0
103695.js,-1.0,1.0,-1.0,-1.0,0.07770873402002615,-1.0,1.0,1.0,-1.0,1.0,0.07770873402002615,1.0
10398.js,-1.0,1.0,-1.0,-1.0,0.0752157713363797,-1.0,1.0,1.0,-1.0,1.0,0.0752157713363797,1.0
104116.js,-1.0,1.0,-1.0,-1.0,0.42479071133845686,-1.0,0.9815186394513573,1.0,-1.0,-1.0,0.42479071133845686,-1.0
10414.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
10415.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
104155.js,-1.0,1.0,-1.0,-1.0,0.1749741181689038,-1.0,1.0,1.0,-1.0,1.0,0.1749741181689038,-1.0
104359.js,-1.0,1.0,-1.0,-1.0,0.45638179436421805,-1.0,-1.0,1.0,-1.0,-1.0,0.45638179436421805,-1.0
10485.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
10884.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
10899.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
10931.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
11062.js,-1.0,1.0,-1.0,-1.0,0.26030430005647975,-1.0,-1.0,1.0,-1.0,-1.0,0.26030430005647975,-1.0
11216.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
11427.js,-1.0,1.0,-1.0,-1.0,0.4490824288153346,-1.0,-1.0,1.0,-1.0,-1.0,0.4490824288153346,-1.0
11429.js,-1.0,1.0,-1.0,-1.0,0.2516087893381316,-1.0,0.9610288359754995,1.0,-1.0,1.0,0.2516087893381316,-1.0
11761.js,-1.0,1.0,-1.0,-1.0,0.3713458646931302,-1.0,-1.0,1.0,-1.0,-1.0,0.3713458646931302,-1.0
12012.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
12208.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
12224.js,-1.0,1.0,-1.0,-1.0,0.21385740494084635,-1.0,1.0,1.0,-1.0,1.0,0.21385740494084635,-1.0
12339.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
12476.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
1255.js,-1.0,1.0,-1.0,-1.0,0.2938390064189132,-1.0,0.9206227060463724,1.0,-1.0,1.0,0.2938390064189132,-1.0
12699.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
1281.js,-1.0,1.0,-1.0,-1.0,0.2984391372685165,-1.0,-1.0,1.0,-1.0,-1.0,0.2984391372685165,-1.0
12896.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
13070.js,-1.0,1.0,-1.0,-1.0,0.1446635276491074,-1.0,0.8621054497285195,1.0,-1.0,-1.0,0.1446635276491074,-1.0
13312.js,-1.0,1.0,-1.0,-1.0,0.15904855449750882,-1.0,0.8044489089669071,1.0,-1.0,1.0,0.15904855449750882,-1.0
13547.js,-1.0,1.0,-1.0,-1.0,0.0761386987626881,-1.0,-1.0,1.0,-1.0,-1.0,0.0761386987626881,-1.0
13575.js,-1.0,1.0,-1.0,-1.0,0.26028305115300615,-1.0,0.9536146445195429,1.0,-1.0,1.0,0.26028305115300615,-1.0
13620.js,-1.0,1.0,-1.0,-1.0,0.1098967455659645,-1.0,1.0,1.0,-1.0,1.0,0.1098967455659645,-1.0
13628.js,-1.0,1.0,-1.0,-1.0,0.32089691238041856,-1.0,0.8513026502192871,1.0,-1.0,1.0,0.32089691238041856,-1.0
13630.js,-1.0,1.0,-1.0,-1.0,0.3418855702935182,-1.0,0.8786822385831031,1.0,-1.0,-1.0,0.3418855702935182,-1.0
13693.js,-1.0,1.0,-1.0,-1.0,0.20204270845206798,-1.0,1.0,1.0,-1.0,1.0,0.20204270845206798,-1.0
13749.js,-1.0,1.0,-1.0,-1.0,0.07390976450199421,-1.0,1.0,1.0,-1.0,1.0,0.07390976450199421,-1.0
138.js,-1.0,1.0,-1.0,-1.0,0.43901965769808343,-1.0,0.9791891839638629,1.0,-1.0,-1.0,0.43901965769808343,-1.0
1407.js,-1.0,1.0,-1.0,-1.0,0.47370706844223887,-1.0,-1.0,1.0,-1.0,-1.0,0.47370706844223887,-1.0
14132.js,-1.0,1.0,-1.0,-1.0,0.07770873402002615,-1.0,1.0,1.0,-1.0,1.0,0.07770873402002615,1.0
14141.js,-1.0,1.0,-1.0,-1.0,0.07770873402002615,-1.0,1.0,1.0,-1.0,1.0,0.07770873402002615,1.0
14233.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
1432.js,-1.0,1.0,-1.0,-1.0,0.4367780297347604,-1.0,0.9934947452155645,1.0,-1.0,0.9850031813882891,0.4367780297347604,-1.0
1437.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
1460.js,-1.0,1.0,-1.0,-1.0,0.30462375345649306,-1.0,-1.0,1.0,-1.0,-1.0,0.30462375345649306,-1.0
14648.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
14977.js,-1.0,1.0,-1.0,-1.0,0.1076763804116331,-1.0,0.6614378277661476,1.0,-1.0,1.0,0.1076763804116331,-1.0
1503.js,-1.0,1.0,-1.0,-1.0,0.27559803406943106,-1.0,0.9790449180128039,1.0,-1.0,1.0,0.27559803406943106,-1.0
15292.js,-1.0,1.0,-1.0,-1.0,0.0761386987626881,-1.0,1.0,1.0,-1.0,1.0,0.0761386987626881,-1.0
15300.js,1.0,1.0,-1.0,1.0,0.026919095102908276,1.0,1.0,1.0,-1.0,1.0,0.026919095102908276,1.0
15361.js,-1.0,1.0,-1.0,-1.0,0.13726099121798926,-1.0,1.0,1.0,-1.0,1.0,0.13726099121798926,-1.0
15580.js,0.05913123959890826,1.0,-1.0,0.10540925533894598,0.05710402407201607,0.0657951694959769,1.0,1.0,-1.0,1.0,0.05710402407201607,1.0
15783.js,-1.0,1.0,-1.0,-1.0,0.07194430788361927,-1.0,1.0,1.0,-1.0,-1.0,0.07194430788361927,1.0
15855.js,0.029695693545824933,1.0,-1.0,-1.0,0.06729773775727069,-1.0,1.0,1.0,-1.0,-1.0,0.06729773775727069,-1.0
1587.js,-1.0,1.0,-1.0,-1.0,0.3369458377171375,-1.0,1.0,1.0,-1.0,-1.0,0.3369458377171375,-1.0
1590.js,-1.0,1.0,-1.0,-1.0,0.2893888265349628,-1.0,-1.0,1.0,-1.0,-1.0,0.2893888265349628,-1.0
1616.js,-1.0,1.0,-1.0,-1.0,0.5901446160858489,-1.0,-1.0,1.0,-1.0,-1.0,0.5901446160858489,-1.0
16222.js,-1.0,1.0,-1.0,-1.0,0.022956681438339396,-1.0,1.0,1.0,-1.0,1.0,0.022956681438339396,-1.0
16434.js,-1.0,1.0,-1.0,-1.0,0.014388861576723854,-1.0,0.7559289460184544,1.0,-1.0,1.0,0.014388861576723854,0.7559289460184544
17034.js,-1.0,1.0,-1.0,-1.0,0.05710402407201607,-1.0,-1.0,1.0,-1.0,-1.0,0.05710402407201607,-1.0
17041.js,-1.0,1.0,-1.0,-1.0,0.05710402407201607,-1.0,1.0,1.0,-1.0,1.0,0.05710402407201607,-1.0
1718.js,-1.0,1.0,-1.0,-1.0,0.2212586550480078,-1.0,-1.0,1.0,-1.0,-1.0,0.2212586550480078,-1.0
17294.js,-1.0,1.0,-1.0,-1.0,0.08731808887763519,-1.0,0.917463421851129,1.0,-1.0,1.0,0.08731808887763519,-1.0
1732.js,-1.0,1.0,-1.0,-1.0,0.1367449706273321,-1.0,-1.0,1.0,-1.0,-1.0,0.1367449706273321,-1.0
17569.js,-1.0,1.0,-1.0,-1.0,0.017025130615174973,-1.0,1.0,1.0,-1.0,1.0,0.017025130615174973,-1.0
1776.js,-1.0,1.0,-1.0,-1.0,0.21236298927940872,-1.0,1.0,1.0,-1.0,1.0,0.21236298927940872,-1.0
1804.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
18204.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
18831.js,-1.0,1.0,-1.0,-1.0,0.35543078792335064,-1.0,0.9638470180033012,1.0,-1.0,1.0,0.35543078792335064,0.9155096366160446
18887.js,-1.0,1.0,-1.0,-1.0,0.35200244872120406,-1.0,0.9652816516762269,1.0,-1.0,1.0,0.35200244872120406,0.9415838181383995
19689.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
19732.js,-1.0,1.0,-1.0,-1.0,0.16966321698117656,-1.0,1.0,1.0,-1.0,1.0,0.16966321698117656,0.8304547985373997
19764.js,-1.0,1.0,-1.0,-1.0,0.26776202996099363,-1.0,-1.0,1.0,-1.0,-1.0,0.26776202996099363,-1.0
19765.js,-1.0,1.0,-1.0,-1.0,0.06104676956673598,-1.0,-1.0,1.0,-1.0,-1.0,0.06104676956673598,-1.0
19772.js,-1.0,1.0,-1.0,-1.0,0.05710402407201607,-1.0,1.0,1.0,-1.0,1.0,0.05710402407201607,-1.0
19847.js,-1.0,1.0,-1.0,-1.0,0.190096947918642,-1.0,0.8316959287790378,1.0,-1.0,1.0,0.190096947918642,-1.0
19912.js,-1.0,1.0,-1.0,-1.0,0.11420804814403215,-1.0,-1.0,1.0,-1.0,-1.0,0.11420804814403215,-1.0
19946.js,-1.0,1.0,-1.0,-1.0,0.07860336953666276,-1.0,1.0,1.0,-1.0,1.0,0.07860336953666276,-1.0
19970.js,-1.0,1.0,-1.0,-1.0,0.21210066083891685,-1.0,-1.0,1.0,-1.0,-1.0,0.21210066083891685,-1.0
19985.js,-1.0,1.0,-1.0,-1.0,0.1387737998557591,-1.0,1.0,1.0,-1.0,-1.0,0.1387737998557591,-1.0
20050.js,-1.0,1.0,-1.0,-1.0,0.06104676956673598,-1.0,-1.0,1.0,-1.0,-1.0,0.06104676956673598,-1.0
20087.js,-1.0,1.0,-1.0,-1.0,0.25772277116069553,-1.0,-1.0,1.0,-1.0,-1.0,0.25772277116069553,-1.0
20134.js,-1.0,1.0,-1.0,-1.0,0.2114722130550724,-1.0,-1.0,1.0,-1.0,-1.0,0.2114722130550724,-1.0
20226.js,-1.0,1.0,-1.0,-1.0,0.10072203103706698,-1.0,1.0,1.0,-1.0,1.0,0.10072203103706698,-1.0
20252.js,-1.0,1.0,-1.0,-1.0,0.07194430788361927,-1.0,1.0,1.0,-1.0,1.0,0.07194430788361927,-1.0
20268.js,-1.0,1.0,-1.0,-1.0,0.10215078369104984,-1.0,0.9271050693011066,1.0,-1.0,1.0,0.10215078369104984,0.9271050693011066
2044.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
20473.js,-1.0,1.0,-1.0,-1.0,0.2054377162259489,-1.0,-1.0,1.0,-1.0,-1.0,0.2054377162259489,-1.0
20524.js,-1.0,1.0,-1.0,-1.0,0.15322617553657475,-1.0,1.0,1.0,-1.0,1.0,0.15322617553657475,1.0
20564.js,-1.0,1.0,-1.0,-1.0,0.04815434123430768,-1.0,1.0,1.0,-1.0,1.0,0.04815434123430768,-1.0
20750.js,-1.0,1.0,-1.0,-1.0,0.159891267401645,-1.0,1.0,1.0,-1.0,1.0,0.159891267401645,0.76
20837.js,-1.0,1.0,-1.0,-1.0,0.2114722130550724,-1.0,0.964772650936774,1.0,-1.0,1.0,0.2114722130550724,-1.0
2096.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
21.js,-1.0,1.0,-1.0,-1.0,0.33746388082265427,-1.0,-1.0,1.0,-1.0,-1.0,0.33746388082265427,-1.0
2101.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
21010.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
21071.js,-1.0,1.0,-1.0,-1.0,0.1076763804116331,-1.0,0.6614378277661476,1.0,-1.0,1.0,0.1076763804116331,-1.0
21163.js,-1.0,1.0,-1.0,-1.0,0.14356850721551082,-1.0,1.0,1.0,-1.0,1.0,0.14356850721551082,-1.0
21166.js,-1.0,1.0,-1.0,-1.0,0.23008600120796813,-1.0,1.0,1.0,-1.0,-1.0,0.23008600120796813,0.24282146558931603
21170.js,-1.0,1.0,-1.0,-1.0,0.15322617553657475,-1.0,1.0,1.0,-1.0,1.0,0.15322617553657475,-1.0
2125.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
21279.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
21436.js,-1.0,1.0,-1.0,-1.0,0.11420804814403215,-1.0,1.0,1.0,-1.0,1.0,0.11420804814403215,1.0
21552.js,-1.0,1.0,-1.0,-1.0,0.23574681237784278,-1.0,1.0,1.0,-1.0,1.0,0.23574681237784278,0.9478411467100529
21736.js,-1.0,1.0,-1.0,-1.0,0.11066334899863732,-1.0,1.0,1.0,-1.0,-1.0,0.11066334899863732,-1.0
21946.js,-1.0,1.0,-1.0,-1.0,0.19384952863381638,-1.0,-1.0,1.0,-1.0,-1.0,0.19384952863381638,-1.0
22499.js,-1.0,1.0,-1.0,-1.0,0.24174061031226587,-1.0,0.9451456227158638,1.0,-1.0,1.0,0.24174061031226587,-1.0
22516.js,-1.0,1.0,-1.0,-1.0,0.26592327067279803,-1.0,0.9626907371412557,1.0,-1.0,1.0,0.26592327067279803,0.2829125760578692
22798.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
22829.js,-1.0,1.0,-1.0,-1.0,0.01203858530857692,-1.0,1.0,1.0,-1.0,1.0,0.01203858530857692,1.0
22857.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
22918.js,-1.0,1.0,-1.0,-1.0,0.05075913250845873,-1.0,1.0,1.0,-1.0,1.0,0.05075913250845873,1.0
22924.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
22986.js,-1.0,1.0,-1.0,-1.0,0.10072203103706698,-1.0,1.0,1.0,-1.0,-1.0,0.10072203103706698,1.0
2324.js,-1.0,1.0,-1.0,-1.0,0.28713701443102163,-1.0,1.0,1.0,-1.0,1.0,0.28713701443102163,0.9661876207644757
23429.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
23809.js,-1.0,1.0,-1.0,-1.0,0.16252090166578842,-1.0,-1.0,1.0,-1.0,-1.0,0.16252090166578842,-1.0
23866.js,-1.0,1.0,-1.0,-1.0,0.06216698721602092,-1.0,1.0,1.0,-1.0,1.0,0.06216698721602092,-1.0
23895.js,-1.0,1.0,-1.0,-1.0,0.06216698721602092,-1.0,1.0,1.0,-1.0,1.0,0.06216698721602092,-1.0
24270.js,-1.0,1.0,-1.0,-1.0,0.34466967988529423,-1.0,-1.0,1.0,-1.0,-1.0,0.34466967988529423,-1.0
24292.js,-1.0,1.0,-1.0,-1.0,0.1278657017388143,-1.0,-1.0,1.0,-1.0,-1.0,0.1278657017388143,-1.0
24340.js,-1.0,1.0,-1.0,-1.0,0.10330506647252728,-1.0,1.0,1.0,-1.0,1.0,0.10330506647252728,0.8058229640253802
24371.js,-1.0,1.0,-1.0,-1.0,0.19034674690672027,-1.0,0.9073928715621605,1.0,-1.0,0.9863939238321437,0.19034674690672027,0.8959786703810408
24506.js,-1.0,1.0,-1.0,-1.0,0.1476465946380497,-1.0,-1.0,1.0,-1.0,-1.0,0.1476465946380497,-1.0
24860.js,-1.0,1.0,-1.0,-1.0,0.4946673838998322,-1.0,-1.0,1.0,-1.0,-1.0,0.4946673838998322,-1.0
24862.js,-1.0,1.0,-1.0,-1.0,0.5566241299408297,-1.0,-1.0,1.0,-1.0,-1.0,0.5566241299408297,-1.0
24907.js,-1.0,1.0,-1.0,-1.0,0.2508719583497341,-1.0,-1.0,1.0,-1.0,-1.0,0.2508719583497341,-1.0
24913.js,-1.0,1.0,-1.0,-1.0,0.4101497967635997,-1.0,0.9877633300078634,1.0,-1.0,1.0,0.4101497967635997,-1.0
2496.js,-1.0,1.0,-1.0,-1.0,0.09421683286017897,-1.0,1.0,1.0,-1.0,1.0,0.09421683286017897,1.0
25001.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
2614.js,-1.0,1.0,-1.0,-1.0,0.10151826501691746,-1.0,1.0,1.0,-1.0,1.0,0.10151826501691746,1.0
26541.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
2656.js,-1.0,1.0,-1.0,-1.0,0.20239402624208683,-1.0,1.0,1.0,-1.0,1.0,0.20239402624208683,0.9304083928170915
27002.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
27178.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
27182.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
27245.js,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
