FileName,jsjiami_unweighted,jsjiami_jsdec,jsjiami_illu,jsjiami_sd,jsjiami_recover_unweighted
100063.js,-1,-1,-1,-1,-1
100094.js,0.833333333,-1,1,0.093250481,-1
100111.js,-1,-1,-1,-1,-1
100217.js,-1,-1,-1,-1,-1
100374.js,-1,-1,-1,-1,-1
100482.js,-1,-1,-1,-1,-1
100484.js,-1,-1,-1,-1,-1
100561.js,1,-1,1,0.068100522,-1
100583.js,1,-1,1,0.094216833,-1
100586.js,1,-1,1,0.026919095,-1
100610.js,-1,-1,-1,-1,-1
100691.js,0.267058387,0.790008529,0.267058387,0.216566428,0.914893617
100778.js,-1,-1,-1,-1,-1
100815.js,1,-1,1,0.026919095,-1
100896.js,0.397032535,0.542286787,0.397032535,0.279661827,0.734558239
101009.js,0.127932061,0.404145188,0.127932061,0.120385853,1
101085.js,0.883883476,-1,0.9375,0.104690711,-1
101196.js,0.071066905,-1,0.071066905,0.011478341,-1
101223.js,0.116941069,1,0.116941069,0.094216833,1
101529.js,0.116149581,1,0.116149581,0.094216833,1
101576.js,1,-1,-1,0.100722031,-1
101606.js,0.782623792,-1,1,0.038069349,-1
101611.js,-1,-1,-1,-1,-1
101709.js,0.133013645,0.726722093,0.133461504,0.104690711,0.726722093
101800.js,0.171941653,0.909090909,0.171941653,0.121746188,0.909090909
102055.js,0.116543309,1,0.116543309,0.094216833,1
102202.js,0.1014475,1,0.1014475,0.077708734,1
102658.js,0.1014475,1,0.1014475,0.077708734,1
102694.js,1,-1,1,0.077708734,-1
10292.js,-1,-1,-1,-1,-1
102952.js,0.1014475,1,0.1014475,0.077708734,1
103438.js,0.1014475,1,0.1014475,0.077708734,1
103695.js,0.1014475,1,0.1014475,0.077708734,1
10398.js,0.259156142,0.746987952,0.259156142,0.075215771,0.746987952
104116.js,0.481187854,0.737180238,-1,0.424790711,0.826869741
10414.js,-1,-1,-1,-1,-1
10415.js,-1,-1,-1,-1,-1
104155.js,0.20914177,0.697631575,0.20914177,0.174974118,0.848874688
104359.js,0.410908083,0.51410799,0.411420898,0.456381794,-1
10485.js,-1,-1,-1,-1,-1
10884.js,-1,-1,-1,-1,-1
10899.js,-1,-1,-1,-1,-1
10931.js,-1,-1,-1,-1,-1
11062.js,0.482511843,0.777573811,0.482511843,0.2603043,0.880518292
11216.js,-1,-1,-1,-1,-1
11427.js,0.509818039,0.694772104,-1,0.449082429,-1
11429.js,0.340534377,0.838106543,0.341258149,0.251608789,0.838106543
11761.js,0.547767109,0.696879438,0.533542459,0.371345865,-1
12012.js,-1,-1,-1,-1,-1
12208.js,-1,-1,-1,-1,-1
12224.js,0.292659438,0.834553971,0.292659438,0.213857405,0.834553971
12339.js,-1,-1,-1,-1,-1
12476.js,-1,-1,-1,-1,-1
1255.js,0.344064614,0.574550351,0.346974483,0.293839006,-1
12699.js,-1,-1,-1,-1,-1
1281.js,0.448818601,0.546050867,0.450933314,0.298439137,-1
12896.js,-1,-1,-1,-1,-1
13070.js,0.200966968,0.77151675,-1,0.144663528,1
13312.js,0.223356099,0.878787879,0.223356099,0.159048554,0.878787879
13547.js,1,-1,1,0.076138699,-1
13575.js,0.399579611,0.903508772,0.399579611,0.260283051,0.903508772
13620.js,0.833333333,-1,0.916666667,0.109896746,-1
13628.js,0.373020898,0.756970999,0.37553624,0.320896912,0.719298246
13630.js,0.394211372,0.740451709,-1,0.34188557,-1
13693.js,0.272217861,0.81229142,0.272217861,0.202042708,-1
13749.js,0.079591718,0.44474959,0.079591718,0.073909765,0.44474959
138.js,0.476172614,0.745019011,0.476580122,0.439019658,0.850716405
1407.js,0.492268032,0.641825725,0.489262693,0.473707068,0.699791425
14132.js,1,-1,1,0.077708734,-1
14141.js,1,-1,1,0.077708734,-1
14233.js,-1,-1,-1,-1,-1
1432.js,0.409601781,0.64896193,0.404991884,0.43677803,-1
1437.js,-1,-1,-1,-1,-1
1460.js,0.379806144,0.600602984,0.380016855,0.304623753,0.623389903
14648.js,-1,-1,-1,-1,-1
14977.js,1,-1,1,0.10767638,-1
1503.js,0.296476208,0.825195002,0.296476208,0.275598034,0.825195002
15292.js,1,-1,1,0.076138699,-1
15300.js,1,-1,1,0.026919095,-1
15361.js,0.923076923,-1,0.923076923,0.137260991,-1
15580.js,1,-1,1,0.057104024,-1
15783.js,1,-1,-1,0.071944308,-1
15855.js,1,-1,-1,0.067297738,-1
1587.js,0.410802283,0.747923146,-1,0.336945838,0.81824193
1590.js,0.541662879,0.651027757,-1,0.289388827,-1
1616.js,0.478828055,0.607853743,-1,0.590144616,-1
16222.js,0.818181818,-1,0.818181818,0.022956681,-1
16434.js,0.755928946,-1,1,0.014388862,-1
17034.js,1,-1,1,0.057104024,-1
17041.js,1,-1,1,0.057104024,-1
1718.js,0.290252783,0.763223966,0.290252783,0.221258655,0.763223966
17294.js,0.170187,0.356436342,0.170573935,0.087318089,0.363589624
1732.js,0.204038289,0.756097561,0.204038289,0.136744971,0.756097561
17569.js,0.0741504,1,0.0741504,0.017025131,1
1776.js,0.308641079,0.814413112,0.308641079,0.212362989,0.897058824
1804.js,-1,-1,-1,-1,-1
18204.js,-1,-1,-1,-1,-1
18831.js,0.311752598,0.497573057,0.312734499,0.355430788,0.603156152
18887.js,0.326233389,0.577808484,0.326782758,0.352002449,0.727604291
19689.js,-1,-1,-1,-1,-1
19732.js,0.218757367,0.896551724,0.218757367,0.169663217,0.896551724
19764.js,0.319774357,0.897058824,0.319774357,0.26776203,0.897058824
19765.js,0.153911219,0.785714286,0.153911219,0.06104677,0.785714286
19772.js,0.153994043,0.875,0.153994043,0.057104024,0.875
19847.js,0.283648795,0.794051021,0.284509643,0.190096948,0.794051021
19912.js,0.262348852,0.844112783,0.262348852,0.114208048,0.866828395
19946.js,0.176342176,0.747545002,0.176342176,0.07860337,1
19970.js,0.267503546,0.897959184,0.267503546,0.212100661,0.897959184
19985.js,0.281286689,0.881355932,-1,0.1387738,0.881355932
20050.js,0.152879976,0.785714286,0.152879976,0.06104677,0.785714286
20087.js,0.303623945,0.915254237,0.303623945,0.257722771,0.915254237
20134.js,0.247194362,0.73493092,-1,0.211472213,-1
20226.js,0.857142857,-1,0.857142857,0.100722031,-1
20252.js,1,-1,1,0.071944308,-1
20268.js,0.181818182,0.9,0.181818182,0.102150784,0.9
2044.js,-1,-1,-1,-1,-1
20473.js,0.220618599,0.522232968,0.221108319,0.205437716,0.532181156
20524.js,0.18303234,0.9,0.18303234,0.153226176,0.9
20564.js,0.117469051,1,0.117469051,0.048154341,1
20750.js,0.203111116,0.88,0.203111116,0.159891267,0.88
20837.js,0.258815853,0.928571429,0.258815853,0.211472213,0.928571429
2096.js,-1,-1,-1,-1,-1
21.js,0.50087326,0.642573531,-1,0.337463881,0.699727266
2101.js,-1,-1,-1,-1,-1
21010.js,-1,-1,-1,-1,-1
21071.js,1,-1,1,0.10767638,-1
21163.js,1,-1,1,0.143568507,-1
21166.js,0.288222311,0.943396226,-1,0.230086001,-1
21170.js,0.18303234,0.95,0.18303234,0.153226176,-1
2125.js,-1,-1,-1,-1,-1
21279.js,-1,-1,-1,-1,-1
21436.js,0.123508045,0.777777778,0.123508045,0.114208048,0.777777778
21552.js,0.253099377,0.704282964,0.253099377,0.235746812,0.742379427
21736.js,0.127908565,0.579750904,0.118971021,0.110663349,0.579750904
21946.js,0.253057494,0.88396,-1,0.193849529,0.782460796
22499.js,0.298193941,0.857250857,0.298651645,0.24174061,0.857250857
22516.js,0.35364072,0.832094196,-1,0.265923271,0.844483377
22798.js,-1,-1,-1,-1,-1
22829.js,1,-1,1,0.012038585,-1
22857.js,-1,-1,-1,-1,-1
22918.js,1,-1,1,0.050759133,-1
22924.js,-1,-1,-1,-1,-1
22986.js,1,-1,-1,0.100722031,-1
2324.js,0.322329186,0.888888889,0.322329186,0.287137014,0.888888889
23429.js,-1,-1,-1,-1,-1
23809.js,1,-1,-1,0.162520902,-1
23866.js,1,-1,1,0.062166987,-1
23895.js,1,-1,1,0.062166987,-1
24270.js,0.460573278,0.875015501,0.461188607,0.34466968,0.875015501
24292.js,0.22627417,0.8125,0.22627417,0.127865702,0.8125
24340.js,1,-1,1,0.103305066,-1
24371.js,0.238856229,0.811107106,0.239045722,0.190346747,-1
24506.js,0.958333333,-1,0.979795897,0.147646595,-1
24860.js,0.423183533,0.600576619,0.423418831,0.494667384,-1
24862.js,0.416627997,0.592965865,-1,0.55662413,-1
24907.js,0.473376118,0.583998874,0.473946603,0.250871958,-1
24913.js,0.364427658,0.575325811,0.364427658,0.410149797,-1
2496.js,0.116941069,1,0.116941069,0.094216833,1
25001.js,-1,-1,-1,-1,-1
2614.js,0.123091491,1,0.123091491,0.101518265,1
26541.js,-1,-1,-1,-1,-1
2656.js,0.234365744,0.911764706,0.234365744,0.202394026,0.911764706
27002.js,-1,-1,-1,-1,-1
27178.js,-1,-1,-1,-1,-1
27182.js,-1,-1,-1,-1,-1
27245.js,-1,-1,-1,-1,-1
27247.js,-1,-1,-1,-1,-1
27598.js,0.37762402,0.854866509,0.378125847,0.226551444,0.854866509
27724.js,0.34469697,0.866025404,0.345172742,0.225355329,0.866025404
27838.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
27846.js,0.303189319,0.882448367,0.303632255,0.218592829,0.882448367
27880.js,0.307708038,0.882448367,0.308171105,0.218592829,0.882448367
27891.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
27902.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
28298.js,0.32756921,0.87811408,0.328038171,0.228416096,0.87811408
28473.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
28688.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
28808.js,0.304077137,0.882448367,0.304523981,0.218592829,0.882448367
28877.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
28976.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
29012.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
29132.js,0.307708038,0.882448367,0.308171105,0.218592829,0.882448367
29148.js,0.336349986,0.857194615,0.336836393,0.216694536,0.857194615
29213.js,0.306788131,0.882448367,0.307247052,0.218592829,0.882448367
29258.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
29294.js,0.304077137,0.882448367,0.304523981,0.218592829,0.882448367
29386.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
29408.js,0.304077137,0.882448367,0.304523981,0.218592829,0.882448367
29474.js,0.304077137,0.882448367,0.304523981,0.218592829,0.882448367
29533.js,0.32663729,0.87811408,0.327102254,0.228416096,0.87811408
29540.js,0.306788131,0.882448367,0.307247052,0.218592829,0.882448367
29567.js,0.306788131,0.882448367,0.307247052,0.218592829,0.882448367
29651.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
29704.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
29838.js,-1,-1,-1,-1,-1
2985.js,0.324529119,1,0.324529119,0.042087249,1
29861.js,-1,-1,-1,-1,-1
29913.js,-1,-1,-1,-1,-1
29975.js,-1,-1,-1,-1,-1
29986.js,-1,-1,-1,-1,-1
300.js,-1,-1,-1,-1,-1
30124.js,-1,-1,-1,-1,-1
30293.js,-1,-1,-1,-1,-1
30361.js,-1,-1,-1,-1,-1
30370.js,-1,-1,-1,-1,-1
30375.js,-1,-1,-1,-1,-1
30403.js,-1,-1,-1,-1,-1
30415.js,-1,-1,-1,-1,-1
30510.js,-1,-1,-1,-1,-1
3062.js,0.151371255,1,0.151371255,0.111919078,1
30712.js,-1,-1,-1,-1,-1
30719.js,-1,-1,-1,-1,-1
30771.js,-1,-1,-1,-1,-1
30860.js,-1,-1,-1,-1,-1
30876.js,-1,-1,-1,-1,-1
30894.js,-1,-1,-1,-1,-1
30959.js,-1,-1,-1,-1,-1
30978.js,-1,-1,-1,-1,-1
31344.js,-1,-1,-1,-1,-1
31377.js,-1,-1,-1,-1,-1
31386.js,-1,-1,-1,-1,-1
31487.js,-1,-1,-1,-1,-1
31552.js,-1,-1,-1,-1,-1
31615.js,-1,-1,-1,-1,-1
3174.js,0.134951549,1,0.134951549,0.114783407,1
31854.js,-1,-1,-1,-1,-1
32013.js,-1,-1,-1,-1,-1
32116.js,-1,-1,-1,-1,-1
32164.js,-1,-1,-1,-1,-1
32188.js,-1,-1,-1,-1,-1
32279.js,-1,-1,-1,-1,-1
32369.js,-1,-1,-1,-1,-1
32515.js,-1,-1,-1,-1,-1
32551.js,-1,-1,-1,-1,-1
32556.js,-1,-1,-1,-1,-1
32626.js,-1,-1,-1,-1,-1
32745.js,-1,-1,-1,-1,-1
32747.js,-1,-1,-1,-1,-1
3284.js,0.129207162,1,0.129207162,0.108347268,1
32843.js,-1,-1,-1,-1,-1
32846.js,-1,-1,-1,-1,-1
32896.js,-1,-1,-1,-1,-1
33023.js,-1,-1,-1,-1,-1
33031.js,-1,-1,-1,-1,-1
33046.js,-1,-1,-1,-1,-1
33261.js,-1,-1,-1,-1,-1
33341.js,-1,-1,-1,-1,-1
33370.js,-1,-1,-1,-1,-1
33397.js,-1,-1,-1,-1,-1
33427.js,-1,-1,-1,-1,-1
33489.js,-1,-1,-1,-1,-1
3354.js,0.123508045,1,0.123508045,0.101518265,1
33586.js,-1,-1,-1,-1,-1
33599.js,-1,-1,-1,-1,-1
33613.js,-1,-1,-1,-1,-1
33634.js,-1,-1,-1,-1,-1
33835.js,-1,-1,-1,-1,-1
33895.js,-1,-1,-1,-1,-1
3391.js,0.109108945,1,0.109108945,0.086333169,1
34023.js,-1,-1,-1,-1,-1
34055.js,-1,-1,-1,-1,-1
34209.js,-1,-1,-1,-1,-1
34265.js,-1,-1,-1,-1,-1
34292.js,-1,-1,-1,-1,-1
34322.js,-1,-1,-1,-1,-1
34401.js,-1,-1,-1,-1,-1
34522.js,-1,-1,-1,-1,-1
34526.js,-1,-1,-1,-1,-1
34534.js,-1,-1,-1,-1,-1
34553.js,-1,-1,-1,-1,-1
34602.js,-1,-1,-1,-1,-1
34620.js,-1,-1,-1,-1,-1
34631.js,-1,-1,-1,-1,-1
3465.js,0.409167326,1,0.409167326,0.025970569,1
34651.js,-1,-1,-1,-1,-1
34848.js,-1,-1,-1,-1,-1
34903.js,-1,-1,-1,-1,-1
34939.js,-1,-1,-1,-1,-1
34947.js,-1,-1,-1,-1,-1
35296.js,-1,-1,-1,-1,-1
35349.js,-1,-1,-1,-1,-1
35400.js,-1,-1,-1,-1,-1
35504.js,-1,-1,-1,-1,-1
35540.js,-1,-1,-1,-1,-1
3558.js,0.374696345,0.886792453,0.374696345,0.33648361,0.886792453
35829.js,-1,-1,-1,-1,-1
35855.js,-1,-1,-1,-1,-1
35958.js,-1,-1,-1,-1,-1
35993.js,-1,-1,-1,-1,-1
36135.js,-1,-1,-1,-1,-1
36317.js,-1,-1,-1,-1,-1
36371.js,-1,-1,-1,-1,-1
36376.js,-1,-1,-1,-1,-1
36511.js,-1,-1,-1,-1,-1
36516.js,-1,-1,-1,-1,-1
3653.js,0.170526127,1,0.170526127,0.098703349,1
3659.js,0.109108945,1,0.109108945,0.086333169,1
36637.js,-1,-1,-1,-1,-1
36662.js,-1,-1,-1,-1,-1
36903.js,-1,-1,-1,-1,-1
37088.js,-1,-1,-1,-1,-1
37159.js,-1,-1,-1,-1,-1
3717.js,0.191127393,1,0.191127393,0.085479607,1
3718.js,0.210818511,1,0.210818511,0.076455285,1
37277.js,-1,-1,-1,-1,-1
37464.js,-1,-1,-1,-1,-1
37503.js,-1,-1,-1,-1,-1
37610.js,-1,-1,-1,-1,-1
37699.js,-1,-1,-1,-1,-1
37864.js,-1,-1,-1,-1,-1
37998.js,-1,-1,-1,-1,-1
38001.js,-1,-1,-1,-1,-1
3801.js,0.327498886,1,0.327498886,0.0414637,1
38031.js,-1,-1,-1,-1,-1
38090.js,-1,-1,-1,-1,-1
38102.js,-1,-1,-1,-1,-1
38161.js,-1,-1,-1,-1,-1
38177.js,-1,-1,-1,-1,-1
38295.js,-1,-1,-1,-1,-1
38411.js,-1,-1,-1,-1,-1
38472.js,-1,-1,-1,-1,-1
38577.js,-1,-1,-1,-1,-1
38607.js,-1,-1,-1,-1,-1
38617.js,-1,-1,-1,-1,-1
3873.js,0.116941069,1,0.116941069,0.094216833,1
38760.js,0.32756921,0.87811408,0.328038171,0.228416096,0.87811408
38786.js,0.302528535,0.882448367,0.302968577,0.218592829,0.882448367
38807.js,0.332055991,0.87064849,0.332537581,0.224300154,0.87064849
38815.js,0.30793931,0.882448367,0.308403424,0.218592829,0.882448367
38823.js,0.307708038,0.882448367,0.308171105,0.218592829,0.882448367
3884.js,0.146465509,1,0.146465509,0.116143916,1
38872.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
38970.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
39025.js,0.303189319,0.882448367,0.303632255,0.218592829,0.882448367
3924.js,0.173349599,0.944444444,0.173349599,0.152541539,0.944444444
39278.js,0.345942501,0.860043003,0.346417371,0.221914587,0.860043003
39287.js,0.453772816,0.671716613,-1,0.482300454,0.801234197
39463.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
3949.js,0.129207162,1,0.129207162,0.108347268,1
39563.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
39575.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
39641.js,0.328277137,0.87064849,0.328742448,0.224300154,0.87064849
39657.js,0.303189319,0.882448367,0.303632255,0.218592829,0.882448367
39685.js,0.307708038,0.882448367,0.308171105,0.218592829,0.882448367
39689.js,0.333021272,0.87064849,0.33350708,0.224300154,0.87064849
39795.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
39835.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
39845.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
39953.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
39987.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
40095.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
40133.js,0.346489258,0.854409201,0.346960352,0.218626782,0.854409201
40172.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
40283.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
4041.js,0.453026802,0.609379978,0.454464008,0.621502359,-1
40486.js,0.308636269,0.882448367,0.309103546,0.218592829,0.882448367
40512.js,0.330150345,0.87064849,0.33062368,0.224300154,0.87064849
4075.js,0.558779226,0.670680099,-1,0.408825387,-1
40938.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
40984.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
41114.js,0.303189319,0.882448367,0.303632255,0.218592829,0.882448367
41351.js,0.306788131,0.882448367,0.307247052,0.218592829,0.882448367
41427.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
41525.js,0.307708038,0.882448367,0.308171105,0.218592829,0.882448367
4165.js,0.440815152,0.597058749,-1,0.51099837,-1
41703.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
41746.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
41759.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
41785.js,0.330150345,0.87064849,0.33062368,0.224300154,0.87064849
41931.js,0.327352411,0.87064849,0.327813796,0.224300154,0.87064849
41949.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
42393.js,0.328277137,0.87064849,0.328742448,0.224300154,0.87064849
42462.js,0.305876426,0.882448367,0.306331261,0.218592829,0.882448367
42466.js,0.304972801,0.882448367,0.305423611,0.218592829,0.882448367
