FileName,jsjiami_unweighted_old,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted,,,
100094.js,0.186231257,0.168231646,0.721687836,0.645497224,,,
100561.js,0.179605302,0.163082018,0.2,0.230089497,,,
100583.js,0.209656967,0.198516667,0.790569415,0.294627825,,,
100691.js,0.421913469,0.395004264,0.516066163,0.538143205,,,654
100896.js,0.562178821,0.446166242,0.446145981,0.587980242,,,jsjiami_unweighted_oldÊ Ê Ê Ê Ê Ê 0.486904
101009.js,1,0.211761775,0.466252404,1,,,jsjiami_unweightedÊ Ê Ê Ê Ê Ê Ê Ê 0.423336
101085.js,0.255945348,0.251285356,0.533001791,0.614918694,,,jsjiami_recover_unweighted_oldÊ Ê 0.563027
101196.js,0.022473329,0.021481794,0.071066905,0.071066905,,,jsjiami_recover_unweightedÊ Ê Ê Ê 0.657992
101223.js,0.215665546,0.195646395,0.782623792,0.612372436,,,
101529.js,0.218870262,0.206284249,0.612372436,0.612372436,,,
101576.js,1,1,1,1,,,
101606.js,0.353553391,0.353553391,0.353553391,0.353553391,,,
101709.js,0.240906028,0.222165426,0.639602149,0.639602149,,,
101800.js,0.287878788,0.270054241,0.475327076,0.475327076,,,
102055.js,0.210235332,0.199007438,0.612372436,0.782623792,,,
102202.js,0.188982237,0.17631813,0.721687836,0.721687836,,,
102658.js,0.187317162,0.183597018,1,1,,,
102694.js,0.184114924,0.17912443,1,0.721687836,,,
102952.js,0.186231257,0.181071492,0.721687836,0.721687836,,,
103438.js,0.184114924,0.18156826,1,0.721687836,,,
103695.js,0.189547207,0.172773685,0.721687836,0.721687836,,,
10398.js,0.390867296,0.389007489,0.513013256,0.538842731,,,
104116.js,0.631274543,0.538390028,0.599092671,0.700357138,,,
104155.js,0.356738621,0.334076552,0.48771311,0.595879572,,,
104359.js,0.531474455,0.460899847,0.485603063,0.570438268,,,
11062.js,0.66646874,0.604278778,0.691153726,0.748442099,,,
11427.js,0.618253536,0.566458195,0.587462641,0.658981105,,,
11429.js,0.497691742,0.478227871,0.603986845,0.648485512,,,
11761.js,0.629843418,0.55605238,0.574236114,0.660186624,,,
12224.js,0.452162083,0.456573525,0.609867834,0.621059003,,,
1255.js,0.546073723,0.484282376,0.562851827,0.694916246,,,
1281.js,0.589747481,0.50907447,0.519222583,0.606791388,,,
13070.js,0.959166305,0.272353163,0.471404521,0.959166305,,,
13312.js,0.407354206,0.353015143,0.548293079,0.301511345,,,
13547.js,1,0.363803438,0.363803438,1,,,
13575.js,0.521498421,0.477458874,0.561524192,0.695379487,,,
13620.js,0.233461998,0.227982335,0.833333333,0.833333333,,,
13628.js,0.451398791,0.419504471,0.482659362,0.586781385,,,
13630.js,0.486830335,0.460140957,0.528545613,0.56851896,,,
13693.js,0.445528193,0.406558514,0.697848798,0.878543041,,,
13749.js,0.148466445,0.135928737,0.248577288,0.283189688,,,
138.js,0.619945049,0.547745163,0.604304276,0.694778957,,,
1407.js,0.48674929,0.466828494,0.49338398,0.512607108,,,
14132.js,1,1,1,1,,,
14141.js,1,1,1,1,,,
1432.js,0.53668872,0.493460338,0.54124514,0.605295514,,,
1460.js,0.42881385,0.418621895,0.497334394,0.537118587,,,
14977.js,1,0.452267017,0.452267017,1,,,
1503.js,0.483074477,0.415901366,0.55467483,0.725567071,,,
15292.js,1,1,1,1,,,
15361.js,0.250872603,0.237124516,0.923076923,0.923076923,,,
15580.js,1,1,1,1,,,
15783.js,0.571428571,0.571428571,0.571428571,0.571428571,,,
15855.js,1,1,1,1,,,
1587.js,0.510753291,0.497910971,0.604260234,0.597758719,,,
1616.js,0.578359471,0.516340993,0.534630802,0.607678142,,,
16222.js,0.195837363,0.204545455,0.818181818,0.818181818,,,
16434.js,0.755928946,0.755928946,0.755928946,0.755928946,,,
17034.js,1,1,1,1,,,
17041.js,1,1,1,1,,,
1718.js,0.419196961,0.388946043,0.49408176,0.569921579,,,
17294.js,0.638442398,0.39966905,0.39966905,0.638442398,,,
1732.js,0.333367349,0.316591372,0.520605766,0.555741445,,,
17569.js,0.101418511,0.12344268,1,0.676123404,,,
1776.js,0.500055701,0.457788701,0.664557017,0.686351536,,,
18831.js,0.505208896,0.412291052,0.50902781,0.663376146,,,
18887.js,0.503952631,0.438509662,0.537082582,0.669922121,,,
19732.js,0.335935507,0.3112686,0.495415084,0.525225731,,,
19764.js,0.499111308,0.477113107,0.73877285,0.762739254,,,
19765.js,0.270030862,0.260693623,0.434299518,0.496342306,,,
19772.js,0.281867261,0.253401517,0.714434508,0.714434508,,,
19847.js,0.437166595,0.456220328,0.553977259,0.568622354,,,
19912.js,0.40444347,0.395553517,0.571428571,0.602356701,,,
19946.js,0.842105263,0.299370409,0.595458342,0.842105263,,,
19970.js,0.448617085,0.419833171,0.604118159,0.700825558,,,
19985.js,0.451062179,0.423168384,0.598306944,0.743084653,,,
20050.js,0.261968416,0.278886676,0.460195012,0.496342306,,,
20087.js,0.482412937,0.457004698,0.727778137,0.778027555,,,
20134.js,0.413572147,0.40500865,0.659244397,0.73493092,,,
20226.js,0.165836998,0.172917125,0.857142857,0.857142857,,,
20252.js,0.203519332,0.19245009,1,1,,,
20268.js,0.324442842,0.283235277,0.497252726,0.789352217,,,
20473.js,0.373277301,0.342862741,0.55269711,0.634795895,,,
20524.js,0.296730148,0.284502555,0.571547607,0.571547607,,,
20564.js,0.225,0.190159707,0.558156306,0.711512474,,,
20750.js,0.359907875,0.346687623,0.790263329,0.790263329,,,
20837.js,0.439941345,0.388807896,0.655789237,0.801783726,,,
21.js,0.527825006,0.529626051,0.533265679,0.53081835,,,
21071.js,0.935414347,0.376889181,0.376889181,0.935414347,,,
21163.js,0.298659557,0.294883912,0.971825316,0.533333333,,,
21166.js,0.486002534,0.472006161,0.855111004,0.923247658,,,
21170.js,0.341992784,0.323592401,0.878310066,0.878310066,,,
21436.js,0.218797487,0.221162934,0.703526471,0.647150229,,,
21552.js,0.405048005,0.389792857,0.534318186,0.572169896,,,
21736.js,0.229539043,0.223038546,0.352511994,0.391964748,,,
21946.js,0.436565653,0.402541569,0.579683864,0.787760989,,,
22499.js,0.485833941,0.469869799,0.669123598,0.644485053,,,
22516.js,0.535956746,0.476728432,0.570648983,0.718994112,,,
22829.js,0.527046277,0.527046277,0.527046277,0.527046277,,,
22918.js,1,1,1,1,,,
22986.js,0.591082805,0.591082805,0.591082805,0.591082805,,,
2324.js,0.378968364,0.375,0.500730461,0.538468619,,,
23809.js,0.925,0.617394907,0.617394907,0.925,,,
23866.js,1,0.566138517,0.566138517,1,,,
23895.js,1,0.468292906,0.468292906,1,,,
24270.js,0.600727218,0.492831265,0.548884087,0.70941257,,,
24292.js,0.256998122,0.270310253,0.394120391,0.319221199,,,
24340.js,0.245844586,0.236299732,0.369274473,0.818181818,,,
24371.js,0.354014167,0.337036171,0.429758853,0.481125224,,,
24506.js,0.357294801,0.331042355,0.87181275,0.87181275,,,
24860.js,0.548603898,0.472183223,0.515566736,0.626191052,,,
24862.js,0.541145831,0.461960697,0.492462144,0.625469182,,,
24907.js,0.630942117,0.519763457,0.53152911,0.649032297,,,
24913.js,0.478566648,0.403489583,0.445257803,0.605730867,,,
2496.js,0.207390339,0.2,0.472455591,0.472455591,,,
2614.js,0.224230528,0.216506351,0.516397779,0.516397779,,,
2656.js,0.358928484,0.327229576,0.524296555,0.635107349,,,
27598.js,0.556759349,0.467482296,0.531735603,0.670762371,,,
27724.js,0.532106741,0.462606344,0.571429666,0.711500473,,,
27838.js,0.509416278,0.428918928,0.544123761,0.658322575,,,
27846.js,0.498263526,0.439272444,0.583553058,0.640764142,,,
27880.js,0.497285579,0.455113933,0.538655041,0.652310371,,,
27891.js,0.498263526,0.435738417,0.535099524,0.658322575,,,
27902.js,0.493430594,0.432971796,0.524841073,0.635216296,,,
28298.js,0.518859761,0.462962963,0.584307929,0.6576267,,,
28473.js,0.504254886,0.433658508,0.586129464,0.635216296,,,
28688.js,0.499247265,0.449644554,0.542282389,0.719442283,,,
28808.js,0.493430594,0.43855876,0.540459586,0.710721449,,,
28877.js,0.487812605,0.429586507,0.533347966,0.719442283,,,
28976.js,0.485982157,0.432288335,0.526509889,0.658322575,,,
29012.js,0.483274715,0.43855876,0.529895839,0.702310248,,,
29132.js,0.509416278,0.45591168,0.531613496,0.646459935,,,
29148.js,0.521749195,0.476553044,0.551732012,0.671341633,,,
29213.js,0.479734193,0.432288335,0.521550501,0.694190781,,,
29258.js,0.505274614,0.432971796,0.581010331,0.635216296,,,
29294.js,0.483274715,0.432288335,0.605173416,0.702310248,,,
29386.js,0.486894801,0.437848543,0.529895839,0.635216296,,,
29408.js,0.497285579,0.428918928,0.586129464,0.652310371,,,
29474.js,0.495346836,0.442162425,0.521550501,0.635216296,,,
29533.js,0.525493854,0.458734902,0.588557498,0.6576267,,,
29540.js,0.501232352,0.435738417,0.538655041,0.658322575,,,
29567.js,0.502233816,0.442893877,0.533347966,0.635216296,,,
29651.js,0.496313368,0.426279402,0.526509889,0.635216296,,,
29704.js,0.485074627,0.451187079,0.555580254,0.624539631,,,
2985.js,0.456051744,0.438870145,0.174077656,0.159872562,,,
3062.js,0.278886676,0.263262095,0.292770022,0.353553391,,,
3174.js,0.247896176,0.225147161,0.585017939,0.70064905,,,
3284.js,0.232495277,0.216168851,0.676123404,0.353553391,,,
3354.js,0.238667185,0.206528517,0.804030252,0.647150229,,,
3391.js,0.195047374,0.189953874,0.569802882,0.569802882,,,
3465.js,0.501206274,0.51066853,0.179800774,0.136978078,,,
3558.js,0.411699958,0.407401705,0.585545315,0.546081721,,,
3653.js,0.288675135,0.272727273,0.305887645,0.353553391,,,
3659.js,0.201152747,0.188025358,0.755928946,0.755928946,,,
3717.js,0.327326835,0.307389312,0.158113883,0.283069259,,,
3718.js,0.357294801,0.32850216,0.269679945,0.296683052,,,
3801.js,0.453481159,0.450762965,0.210915372,0.175342802,,,
3873.js,0.211999576,0.199007438,0.472455591,0.472455591,,,
38760.js,0.497067423,0.458041425,0.544395483,0.718637971,,,
38786.js,0.488735619,0.45591168,0.572045453,0.635216296,,,
38807.js,0.5143445,0.464597861,0.554192361,0.65252644,,,
38815.js,0.481494691,0.448117743,0.553620529,0.635216296,,,
38823.js,0.495346836,0.435738417,0.535099524,0.640764142,,,
3884.js,0.260888534,0.241988757,0.544704779,0.388290137,,,
38872.js,0.490597476,0.424977783,0.581010331,0.646459935,,,
38970.js,0.504254886,0.452745588,0.540459586,0.728492228,,,
39025.js,0.489663893,0.447360147,0.586129464,0.652310371,,,
3924.js,0.293016358,0.273270933,0.703526471,0.625462792,,,
39278.js,0.537433055,0.474106001,0.54886043,0.668458517,,,
39287.js,0.641241559,0.579860529,0.622840341,0.728985802,,,
39463.js,0.487812605,0.457519839,0.5497625,0.629810102,,,
3949.js,0.237022732,0.223606798,0.553398591,0.553398591,,,
39563.js,0.485982157,0.449644554,0.613923365,0.702310248,,,
39575.js,0.492480775,0.439989624,0.545984018,0.646459935,,,
39641.js,0.526361356,0.468191092,0.543370269,0.716833825,,,
39657.js,0.478861155,0.424331428,0.528194725,0.694190781,,,
39685.js,0.505274614,0.451187079,0.599543773,0.640764142,,,
39689.js,0.506491451,0.463183557,0.555791766,0.657342198,,,
39795.js,0.485982157,0.445110208,0.528194725,0.719442283,,,
39835.js,0.492480775,0.446606381,0.545984018,0.646459935,,,
39845.js,0.488735619,0.452745588,0.588740298,0.694190781,,,
39953.js,0.484172162,0.440710328,0.542282389,0.624539631,,,
39987.js,0.475416066,0.432288335,0.528194725,0.629810102,,,
40095.js,0.49153642,0.447360147,0.586129464,0.719442283,,,
40133.js,0.520298745,0.4639052,0.53404587,0.643607305,,,
40172.js,0.49438593,0.432288335,0.526509889,0.694190781,,,
40283.js,0.501232352,0.432288335,0.599543773,0.719442283,,,
4041.js,0.575975836,0.520391945,0.555553117,0.641436001,,,
40486.js,0.501232352,0.43855876,0.524841073,0.646459935,,,
40512.js,0.526361356,0.467465776,0.540392876,0.643204154,,,
4075.js,0.615269206,0.530583617,0.542218982,0.630679464,,,
40938.js,0.49153642,0.440710328,0.551681397,0.728492228,,,
40984.js,0.490597476,0.442893877,0.591386335,0.652310371,,,
41114.js,0.509416278,0.451187079,0.623064166,0.652310371,,,
41351.js,0.488735619,0.440710328,0.578500555,0.658322575,,,
41427.js,0.495346836,0.443628971,0.531613496,0.635216296,,,
41525.js,0.492480775,0.429586507,0.536868453,0.646459935,,,
4165.js,0.521124896,0.496092101,0.541710533,0.572157777,,,
41703.js,0.499247265,0.428918928,0.524841073,0.646459935,,,
41746.js,0.488735619,0.442893877,0.540459586,0.635216296,,,
41759.js,0.495346836,0.456713636,0.594068373,0.646459935,,,
41785.js,0.530231712,0.457652808,0.559032561,0.65252644,,,
41931.js,0.525406937,0.476399051,0.538922416,0.657342198,,,
41949.js,0.514739477,0.448117743,0.535099524,0.728492228,,,
42393.js,0.526361356,0.461086111,0.540392876,0.657342198,,,
42462.js,0.505274614,0.433658508,0.608048365,0.710721449,,,
42466.js,0.515824282,0.448117743,0.535099524,0.646459935,,,
42622.js,0.511577158,0.46439851,0.549095388,0.6576267,,,
42641.js,0.502233816,0.439272444,0.608048365,0.629810102,,,
42720.js,0.499247265,0.433658508,0.542282389,0.629810102,,,
42722.js,0.499247265,0.439989624,0.596787236,0.640764142,,,
42892.js,0.486894801,0.451964318,0.540459586,0.646459935,,,
42984.js,0.490597476,0.443628971,0.536868453,0.635216296,,,
43082.js,0.475416066,0.445856411,0.533347966,0.640764142,,,
43405.js,0.522619664,0.460131359,0.552297137,0.711626701,,,
43492.js,0.49438593,0.430931069,0.528194725,0.652310371,,,
43566.js,0.509416278,0.460787879,0.559562959,0.629810102,,,
43851.js,0.509416278,0.430257212,0.586129464,0.635216296,,,
43891.js,0.497285579,0.445110208,0.544123761,0.710721449,,,
43898.js,0.477129282,0.451964318,0.553620529,0.635216296,,,
43931.js,0.513661487,0.439272444,0.581010331,0.658322575,,,
43981.js,0.483274715,0.432971796,0.583553058,0.702310248,,,
44079.js,0.499247265,0.423688014,0.526509889,0.640764142,,,
44114.js,0.487812605,0.433658508,0.573577057,0.719442283,,,
44122.js,0.524530528,0.46512131,0.604195524,0.643171601,,,
44139.js,0.487812605,0.442893877,0.578500555,0.640764142,,,
44169.js,0.555794255,0.47368469,0.546241291,0.678317522,,,
44293.js,0.49153642,0.431608102,0.519928256,0.719442283,,,
44333.js,0.508371321,0.428254452,0.528194725,0.640764142,,,
44354.js,0.636893584,0.519515401,0.548812662,0.723940004,,,
44431.js,0.502233816,0.439272444,0.591386335,0.635216296,,,
44471.js,0.479734193,0.43855876,0.519928256,0.624539631,,,
44473.js,0.485982157,0.451964318,0.538655041,0.646459935,,,
44518.js,0.484172162,0.455113933,0.599543773,0.635216296,,,
44553.js,0.493430594,0.428254452,0.531613496,0.640764142,,,
44575.js,0.484172162,0.439272444,0.526509889,0.640764142,,,
44576.js,0.502233816,0.450413835,0.5497625,0.646459935,,,
44624.js,0.484172162,0.441434586,0.529895839,0.629810102,,,
44685.js,0.503241307,0.439272444,0.529895839,0.635216296,,,
44963.js,0.488735619,0.449644554,0.588740298,0.635216296,,,
45063.js,0.488735619,0.443628971,0.531613496,0.635216296,,,
45101.js,0.557416718,0.447119475,0.524691358,0.674199862,,,
45107.js,0.485982157,0.448117743,0.540459586,0.646459935,,,
45154.js,0.510467706,0.459964308,0.559562959,0.702310248,,,
45220.js,0.500236855,0.448117743,0.533347966,0.640764142,,,
45243.js,0.503241307,0.436438399,0.540459586,0.635216296,,,
45324.js,0.528285901,0.454295075,0.537463895,0.723827491,,,
45333.js,0.523513573,0.452315567,0.575945864,0.70343388,,,
45502.js,0.67446107,0.501362076,0.503073379,0.69631619,,,
46.js,0.55738327,0.487795277,0.47768844,0.551721523,,,
46432.js,0.334955403,0.325562257,0.569160489,0.59947894,,,
4654.js,0.274351631,0.270736827,-1,0.776898596,,,
4676.js,0.560312975,0.423378222,0.482955745,0.709952293,,,
47154.js,0.540082873,0.495264994,0.599645285,0.69231097,,,
47289.js,0.19500598,0.188561808,0.703526471,0.703526471,,,
47656.js,0.191273014,0.172773685,0.721687836,0.833333333,,,
49340.js,0.368235416,0.368965319,0.593394444,0.584731286,,,
49662.js,0.547493347,0.474087081,0.589013464,0.740958574,,,
49680.js,0.243975018,0.225302955,0.632455532,0.8,,,
49711.js,0.712203962,0.555066609,0.564631262,0.723375485,,,
50055.js,0.677310157,0.445282543,0.397984756,0.63649883,,,
50084.js,0.589629866,0.514783748,0.565973588,0.664082043,,,
50145.js,0.640445367,0.450009799,0.460798265,0.685357158,,,
50435.js,0.603451896,0.437102188,0.468037765,0.661094551,,,
50453.js,0.608219944,0.472711445,0.51505053,0.668673212,,,
50529.js,0.404651319,0.348803043,0.504608392,0.656392462,,,
50562.js,0.388473301,0.340870358,0.541880074,0.629836657,,,
50570.js,0.409293742,0.333759319,0.489978944,0.663488803,,,
50605.js,0.539870089,0.404053746,0.444137948,0.687663903,,,
50674.js,0.472367773,0.425166379,0.485307237,0.603071006,,,
50721.js,0.579198973,0.439165868,0.50305682,0.708791393,,,
50732.js,0.512487084,0.42539792,0.504520644,0.655033957,,,
51042.js,0.661438722,0.519152522,0.530613106,0.710579572,,,
51051.js,0.683080157,0.498053427,0.503768552,0.752978794,,,
51153.js,0.652964367,0.542528701,0.614411117,0.82003597,,,
51297.js,0.536862963,0.466290536,0.506538564,0.654593825,,,
51515.js,0.499528728,0.443526473,0.556918004,0.65697727,,,
51803.js,0.799822778,0.783281081,0.92148504,0.930994941,,,
51903.js,0.800807552,0.800807552,0.92834442,0.930284536,,,
5191.js,0.32703497,0.289885518,0.608697643,0.562731434,,,
51915.js,0.773890789,0.777035421,0.916631234,0.918726394,,,
51925.js,0.826165757,0.814374815,0.931654036,0.934975451,,,
51930.js,0.789077608,0.775110529,0.921926783,0.924024457,,,
52115.js,0.533553267,0.508149547,0.764502961,0.754763672,,,
5217.js,0.462280462,0.420495739,0.475743932,0.549729249,,,
52191.js,0.549300577,0.533333333,0.772897387,0.777227378,,,
52286.js,0.541140823,0.514727594,0.764456145,0.764456145,,,
52340.js,0.56079219,0.54118559,0.785019474,0.785019474,,,
52423.js,0.594330674,0.57128848,0.788502689,0.806631556,,,
5246.js,0.574401817,0.515395234,0.587056539,0.634707045,,,
52707.js,0.527409632,0.476449834,0.532810989,0.63258728,,,
52733.js,0.599448939,0.471833656,0.484659444,0.638906873,,,
52883.js,0.598099678,0.546999208,0.604771104,0.680684483,,,
52943.js,0.439760295,0.401843781,0.576352123,0.551974688,,,
53065.js,0.335267639,0.297731611,0.701240892,0.738173244,,,
53075.js,0.605119161,0.483608723,0.503653756,0.648991996,,,
53399.js,0.560988787,0.481640237,0.52570397,0.651016937,,,
53620.js,0.507833375,0.467061169,0.521607801,0.640452257,,,
53628.js,0.547613046,0.508036359,0.559655936,0.648279335,,,
53659.js,0.488694317,0.487130491,0.636445028,0.662222391,,,
53667.js,0.471027246,0.47903109,0.535553945,0.549215323,,,
53673.js,0.486654968,0.471939904,0.547722558,0.5764932,,,
53701.js,0.476383487,0.456342352,0.525719249,0.552785561,,,
53741.js,0.513817692,0.490846345,0.576871074,0.611101952,,,
53868.js,0.54659816,0.471212071,0.502753452,0.617197429,,,
5396.js,0.722343013,0.587295465,0.599847654,0.743024778,,,
53980.js,0.502743375,0.456821384,0.527534961,0.595139701,,,
54129.js,0.494389093,0.49174737,0.601233712,0.592372917,,,
54354.js,0.56227969,0.52829817,0.588100581,0.616187304,,,
54409.js,0.473315601,0.446628124,0.537517031,0.557807785,,,
54693.js,0.557075698,0.50411989,0.575015267,0.649422477,,,
54815.js,0.548275224,0.523304052,0.624219452,0.673721537,,,
54985.js,0.533747251,0.50275455,0.560041569,0.621929422,,,
55287.js,0.54272042,0.487853258,0.55180357,0.632598735,,,
55447.js,0.609678546,0.535701029,0.560225195,0.656378033,,,
55460.js,0.480825764,0.458913161,0.598764159,0.624254789,,,
55478.js,0.533653846,0.512834757,0.594912591,0.614037016,,,
55560.js,0.534252155,0.496140666,0.543582832,0.607870516,,,
55570.js,0.593076348,0.534035148,0.62341362,0.696224256,,,
5565.js,0.375467189,0.30023465,0.399186164,0.740797197,,,
55685.js,0.759103685,0.524205107,0.518327067,0.771357901,,,
55856.js,0.616357897,0.528665776,0.593066724,0.694528294,,,
55876.js,0.517080006,0.478661279,0.536781801,0.59997284,,,
55879.js,0.491658836,0.476057224,0.53918713,0.562546551,,,
56064.js,0.573144755,0.538413115,0.663809561,0.6576267,,,
56095.js,0.520708599,0.507426666,0.619239181,0.636341359,,,
56372.js,0.544873374,0.472122221,0.536613421,0.671867369,,,
