FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted,,
100691.js,1,1.6,1,,
100896.js,1,1.230769231,1,,
101009.js,1,4,1,,
101223.js,1,4,1,,
101529.js,1,4,1,,480
101709.js,1,4,1,,rename_unweighted Ê Ê Ê Ê Ê Ê 0.999182
101800.js,1,2.5,1,,jsjiami_unweightedÊ Ê Ê Ê Ê Ê 2.222160
102055.js,1,4,1,,jsjiami_recover_unweightedÊ Ê 1.000000
102202.js,1,4,1,,
102658.js,1,4,1,,
102952.js,1,4,1,,
103438.js,1,4,1,,
103695.js,1,4,1,,
10398.js,1,2.5,1,,
104116.js,1,1.428571429,1,,
104155.js,1,1.75,1,,
11062.js,1,1.2,1,,
11429.js,1,1.5,1,,
12224.js,1,1.428571429,1,,
13070.js,1,4,1,,
13312.js,1,2.5,1,,
13575.js,1,1.214285714,1,,
13628.js,1,1.272727273,1,,
13749.js,1,4,1,,
138.js,1,1.5,1,,
1407.js,1,1.375,1,,
1460.js,1,4,1,,
1503.js,1,2,1,,
1587.js,1,2,1,,
1718.js,1,1.75,1,,
17294.js,1,4,1,,
1732.js,1,2.5,1,,
17569.js,1,4,1,,
1776.js,1,2,1,,
18831.js,1,4,1,,
18887.js,1,4,1,,
19732.js,1,1.6,1,,
19764.js,1,2.5,1,,
19765.js,1,2.5,1,,
19772.js,1,4,1,,
19847.js,1,1.428571429,1,,
19912.js,1,1.75,1,,
19946.js,1,4,1,,
19970.js,1,2,1,,
19985.js,1,2,1,,
20050.js,1,2.5,1,,
20087.js,1,2.5,1,,
20268.js,1,4,1,,
20473.js,1,4,1,,
20524.js,1,4,1,,
20564.js,1,4,1,,
20750.js,1,4,1,,
20837.js,1,4,1,,
21.js,1,2.5,1,,
21436.js,1,4,1,,
21552.js,1,2.5,1,,
21736.js,1,2.5,1,,
21946.js,1,1.75,1,,
22499.js,1,2,1,,
22516.js,1,2.5,1,,
2324.js,1,1.3,1,,
24270.js,1,1.2,1,,
24292.js,1,1.375,1,,
2496.js,1,4,1,,
2614.js,1,4,1,,
2656.js,1,1.6,1,,
27598.js,1,1.375,1,,
27724.js,1,1.375,1,,
27838.js,1,1.375,1,,
27846.js,1,1.375,1,,
27880.js,1,1.375,1,,
27891.js,1,1.375,1,,
27902.js,1,1.375,1,,
28298.js,1,1.375,1,,
28473.js,1,1.375,1,,
28688.js,1,1.375,1,,
28808.js,1,1.375,1,,
28877.js,1,1.375,1,,
28976.js,1,1.375,1,,
29012.js,1,1.375,1,,
29132.js,1,1.375,1,,
29148.js,1,1.375,1,,
29213.js,1,1.375,1,,
29258.js,1,1.375,1,,
29294.js,1,1.375,1,,
29386.js,1,1.375,1,,
29408.js,1,1.375,1,,
29474.js,1,1.375,1,,
29533.js,1,1.375,1,,
29540.js,1,1.375,1,,
29567.js,1,1.375,1,,
29651.js,1,1.375,1,,
29704.js,1,1.375,1,,
2985.js,1,4,1,,
3062.js,1,4,1,,
3174.js,1,4,1,,
3284.js,1,4,1,,
3354.js,1,4,1,,
3391.js,1,4,1,,
3465.js,1,4,1,,
3558.js,1,1.214285714,1,,
3653.js,1,4,1,,
3659.js,1,4,1,,
3717.js,1,4,1,,
3718.js,1,4,1,,
3801.js,1,4,1,,
3873.js,1,4,1,,
38760.js,1,1.375,1,,
38786.js,1,1.375,1,,
38807.js,1,1.375,1,,
38815.js,1,1.375,1,,
38823.js,1,1.375,1,,
3884.js,1,4,1,,
38872.js,1,1.375,1,,
38970.js,1,1.375,1,,
39025.js,1,1.375,1,,
3924.js,1,2,1,,
39278.js,1,1.375,1,,
39287.js,1,1.272727273,1,,
39463.js,1,1.375,1,,
3949.js,1,4,1,,
39563.js,1,1.375,1,,
39575.js,1,1.375,1,,
39641.js,1,1.375,1,,
39657.js,1,1.375,1,,
39685.js,1,1.375,1,,
39689.js,1,1.375,1,,
39795.js,1,1.375,1,,
39835.js,1,1.375,1,,
39845.js,1,1.375,1,,
39953.js,1,1.375,1,,
39987.js,1,1.375,1,,
40095.js,1,1.375,1,,
40133.js,1,1.375,1,,
40172.js,1,1.375,1,,
40283.js,1,1.375,1,,
40486.js,1,1.375,1,,
40512.js,1,1.375,1,,
40938.js,1,1.375,1,,
40984.js,1,1.375,1,,
41114.js,1,1.375,1,,
41351.js,1,1.375,1,,
41427.js,1,1.375,1,,
41525.js,1,1.375,1,,
41703.js,1,1.375,1,,
41746.js,1,1.375,1,,
41759.js,1,1.375,1,,
41785.js,1,1.375,1,,
41931.js,1,1.375,1,,
41949.js,1,1.375,1,,
42393.js,1,1.375,1,,
42462.js,1,1.375,1,,
42466.js,1,1.375,1,,
42622.js,1,1.375,1,,
42641.js,1,1.375,1,,
42720.js,1,1.375,1,,
42722.js,1,1.375,1,,
42892.js,1,1.375,1,,
42984.js,1,1.375,1,,
43082.js,1,1.375,1,,
43405.js,1,1.375,1,,
43492.js,1,1.375,1,,
43566.js,1,1.375,1,,
43851.js,1,1.375,1,,
43891.js,1,1.375,1,,
43898.js,1,1.375,1,,
43931.js,1,1.375,1,,
43981.js,1,1.375,1,,
44079.js,1,1.375,1,,
44114.js,1,1.375,1,,
44122.js,1,1.375,1,,
44139.js,1,1.375,1,,
44169.js,1,1.375,1,,
44293.js,1,1.375,1,,
44333.js,1,1.375,1,,
44354.js,1,1.272727273,1,,
44431.js,1,1.375,1,,
44471.js,1,1.375,1,,
44473.js,1,1.375,1,,
44518.js,1,1.375,1,,
44553.js,1,1.375,1,,
44575.js,1,1.375,1,,
44576.js,1,1.375,1,,
44624.js,1,1.375,1,,
44685.js,1,1.375,1,,
44963.js,1,1.375,1,,
45063.js,1,1.375,1,,
45101.js,1,1.375,1,,
45107.js,1,1.375,1,,
45154.js,1,1.375,1,,
45220.js,1,1.375,1,,
45243.js,1,1.375,1,,
45324.js,1,1.375,1,,
45333.js,1,1.375,1,,
46432.js,1,2.5,1,,
4654.js,1,2.5,1,,
47154.js,1,1.6,1,,
47289.js,1,4,1,,
47656.js,1,4,1,,
49340.js,1,4,1,,
49662.js,1,4,1,,
50453.js,1,4,1,,
50529.js,1,4,1,,
50562.js,1,4,1,,
50570.js,1,4,1,,
50605.js,1,4,1,,
50674.js,1,4,1,,
51042.js,1,1.428571429,1,,
51051.js,1,1.75,1,,
51153.js,1,1.5,1,,
51297.js,1,1.6,1,,
51515.js,1,1.6,1,,
51803.js,1,4,1,,
51903.js,1,4,1,,
5191.js,1,2.5,1,,
51915.js,1,4,1,,
51925.js,1,4,1,,
51930.js,1,4,1,,
52115.js,1,4,1,,
5217.js,1,2,1,,
52191.js,1,4,1,,
52286.js,1,4,1,,
52340.js,1,4,1,,
52423.js,1,4,1,,
5246.js,1,1.3,1,,
52943.js,1,1.6,1,,
53065.js,1,4,1,,
53620.js,1,1.6,1,,
53628.js,1,1.214285714,1,,
53659.js,1,1.3,1,,
53667.js,1,1.230769231,1,,
53673.js,1,1.6,1,,
53701.js,1,1.428571429,1,,
53741.js,1,1.333333333,1,,
53980.js,1,1.333333333,1,,
54129.js,1,1.1875,1,,
54354.js,1,1.3,1,,
54409.js,1,1.230769231,1,,
54693.js,1,1.428571429,1,,
54815.js,1,1.6,1,,
54985.js,1,1.3,1,,
55287.js,1,1.3,1,,
55447.js,1,1.076923077,1,,
55460.js,1,1.375,1,,
55570.js,1,1.333333333,1,,
5565.js,1,2,1,,
55685.js,1,1.036585366,1,,
55856.js,1,1.3,1,,
55876.js,1,1.3,1,,
55879.js,1,1.375,1,,
56064.js,1,1.25,1,,
56095.js,1,1.3,1,,
56372.js,1,1.5,1,,
56410.js,1,1.272727273,1,,
57025.js,1,2.5,1,,
57449.js,1,2.5,1,,
57583.js,1,1.111111111,1,,
57591.js,1,1.75,1,,
57698.js,1,1.5,1,,
58229.js,1,1.428571429,1,,
58550.js,1,1.3,1,,
58570.js,1,2,1,,
58685.js,1,1.066666667,1,,
58800.js,1,1.3,1,,
58819.js,1,4,1,,
58829.js,1,2,1,,
58867.js,1,1.058823529,1,,
58897.js,1,1.3,1,,
59029.js,1,1.6,1,,
59093.js,1,2.5,1,,
59099.js,1,2,1,,
59309.js,1,1.428571429,1,,
59383.js,1,1.6,1,,
59534.js,1,4,1,,
59559.js,1,4,1,,
6010.js,1,4,1,,
60326.js,1,2.5,1,,
60393.js,1,1.428571429,1,,
60820.js,1,2.5,1,,
61022.js,1,2,1,,
61201.js,1,1.428571429,1,,
61443.js,1,1.2,1,,
61535.js,1,2.5,1,,
61596.js,1,1.428571429,1,,
61603.js,0.857142857,1.428571429,1,,
61642.js,1,1.375,1,,
61757.js,1,1.6,1,,
61902.js,1,1.157894737,1,,
61999.js,1,1.25,1,,
62048.js,1,1.6,1,,
62461.js,0.75,1.75,1,,
62519.js,1,1.428571429,1,,
62758.js,1,1.053571429,1,,
6279.js,1,4,1,,
62802.js,1,1.25,1,,
63048.js,1,1.6,1,,
63155.js,1,1.375,1,,
63225.js,1,2,1,,
634.js,1,4,1,,
63457.js,1,1.375,1,,
63628.js,1,1.176470588,1,,
6370.js,1,4,1,,
63757.js,1,1.25,1,,
64206.js,1,2.5,1,,
6422.js,1,4,1,,
64731.js,1,2,1,,
65321.js,1,1.25,1,,
66225.js,1,1.25,1,,
66377.js,1,1.5,1,,
66394.js,1,1.75,1,,
66945.js,1,4,1,,
67353.js,1,4,1,,
67476.js,1,2.5,1,,
67544.js,1,2.5,1,,
67717.js,1,4,1,,
67918.js,1,2.5,1,,
67961.js,1,1.5,1,,
67981.js,1,2.5,1,,
6806.js,1,1.428571429,1,,
68706.js,1,2.5,1,,
68856.js,1,2.5,1,,
69198.js,1,2.5,1,,
69216.js,1,4,1,,
69246.js,1,4,1,,
69472.js,1,4,1,,
69578.js,1,2,1,,
69635.js,1,2.5,1,,
69705.js,1,4,1,,
70353.js,1,4,1,,
70748.js,1,4,1,,
70775.js,1,4,1,,
70848.js,1,2.5,1,,
71032.js,1,4,1,,
71688.js,1,1.428571429,1,,
71716.js,1,1.157894737,1,,
71738.js,1,2.5,1,,
71744.js,1,4,1,,
72068.js,1,2.5,1,,
72259.js,1,1.5,1,,
72470.js,1,2,1,,
72581.js,1,1.428571429,1,,
73103.js,1,1.6,1,,
73109.js,1,1.6,1,,
73132.js,1,1.6,1,,
73187.js,1,2,1,,
73243.js,1,2,1,,
7325.js,1,2,1,,
73300.js,1,4,1,,
73442.js,1,2.5,1,,
7745.js,1,1.230769231,1,,
78018.js,1,1.166666667,1,,
78361.js,1,1.166666667,1,,
78393.js,1,1.166666667,1,,
78604.js,1,1.166666667,1,,
78626.js,1,1.166666667,1,,
78937.js,1,1.166666667,1,,
79119.js,1,1.166666667,1,,
79406.js,1,1.166666667,1,,
79496.js,1,1.166666667,1,,
79644.js,1,4,1,,
79783.js,1,1.6,1,,
79806.js,1,1.25,1,,
79827.js,1,1.428571429,1,,
80041.js,1,2.5,1,,
80121.js,1,2,1,,
80761.js,1,2.5,1,,
81381.js,1,1.333333333,1,,
81439.js,1,1.75,1,,
81680.js,1,1.5,1,,
81791.js,1,2.5,1,,
8184.js,1,4,1,,
81895.js,1,2,1,,
81923.js,1,1.5,1,,
81975.js,1,2.5,1,,
82065.js,1,2.5,1,,
82121.js,1,1.6,1,,
82246.js,1,1.75,1,,
82951.js,1,2.5,1,,
83042.js,1,2.5,1,,
83154.js,1,2.5,1,,
83287.js,1,2.5,1,,
83510.js,1,2.5,1,,
83582.js,1,2.5,1,,
83628.js,1,2.5,1,,
83881.js,1,1.6,1,,
83992.js,1,2,1,,
84075.js,1,2,1,,
84203.js,1,4,1,,
8424.js,1,4,1,,
84337.js,1,2,1,,
84365.js,1,2.5,1,,
84901.js,1,2.5,1,,
85373.js,1,4,1,,
85769.js,1,2,1,,
85776.js,1,2,1,,
86047.js,1,1.6,1,,
86050.js,1,1.6,1,,
86060.js,1,1.333333333,1,,
86065.js,1,1.6,1,,
86235.js,1,1.75,1,,
86436.js,1,2.5,1,,
86507.js,1,2.5,1,,
86715.js,1,2.5,1,,
86735.js,1,1.75,1,,
86811.js,1,1.6,1,,
86832.js,1,1.375,1,,
86969.js,1,1.5,1,,
87032.js,1,4,1,,
87083.js,1,4,1,,
87103.js,1,4,1,,
87319.js,1,4,1,,
87347.js,1,4,1,,
87349.js,1,4,1,,
87389.js,1,4,1,,
87599.js,1,4,1,,
87741.js,1,2.5,1,,
87868.js,1,4,1,,
87950.js,1,2.5,1,,
88245.js,1,4,1,,
88281.js,1,2.5,1,,
88338.js,1,2,1,,
88368.js,1,1.272727273,1,,
88502.js,1,4,1,,
88584.js,1,2.5,1,,
88669.js,1,2,1,,
88692.js,1,2,1,,
89372.js,1,4,1,,
89559.js,1,4,1,,
89608.js,1,1.428571429,1,,
89933.js,1,2.5,1,,
90997.js,1,2.5,1,,
91312.js,1,1.375,1,,
91394.js,1,1.75,1,,
91446.js,1,2,1,,
91677.js,1,1.6,1,,
91734.js,1,1.272727273,1,,
91748.js,1,1.75,1,,
92794.js,1,1.75,1,,
93449.js,1,4,1,,
94210.js,1,4,1,,
94309.js,1,1.6,1,,
94320.js,1,4,1,,
94449.js,1,1.5,1,,
94637.js,1,4,1,,
94705.js,1,4,1,,
94749.js,1,4,1,,
94934.js,1,2,1,,
94937.js,1,1.428571429,1,,
95059.js,1,2,1,,
95188.js,1,4,1,,
95304.js,1,4,1,,
95349.js,1,4,1,,
95354.js,1,4,1,,
95511.js,1,1.176470588,1,,
95745.js,1,4,1,,
96010.js,1,1.5,1,,
96286.js,1,1.6,1,,
96412.js,1,1.5,1,,
96460.js,1,1.6,1,,
96609.js,1,1.1875,1,,
96866.js,1,4,1,,
97023.js,1,1.428571429,1,,
971.js,1,2.5,1,,
97154.js,1,2.5,1,,
97160.js,1,2,1,,
97966.js,1,1.333333333,1,,
97999.js,1,1.75,1,,
9814.js,1,4,1,,
98605.js,1,1.428571429,1,,
98613.js,1,2.5,1,,
98893.js,1,1.5,1,,
98898.js,1,1.375,1,,
98983.js,1,1.333333333,1,,
99156.js,1,2,1,,
99288.js,1,1.428571429,1,,
99502.js,1,2.5,1,,
9958.js,1,4,1,,
99582.js,1,1.75,1,,
99986.js,1,2.5,1,,
99988.js,1,2.5,1,,