FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted
100063.js,-1.0,-1.0,-1.0,-1.0
100094.js,0.0,3.0,0.0,0.0
100111.js,-1.0,-1.0,-1.0,-1.0
100217.js,-1.0,-1.0,-1.0,-1.0
100374.js,-1.0,-1.0,-1.0,-1.0
100482.js,-1.0,-1.0,-1.0,-1.0
100484.js,-1.0,-1.0,-1.0,-1.0
100561.js,0.0,1.5,0.0,0.0
100583.js,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333
100586.js,0.0,3.0,1.0,1.0
100610.js,-1.0,-1.0,-1.0,-1.0
100691.js,0.0,0.2,0.8,0.6
100778.js,-1.0,-1.0,-1.0,-1.0
100815.js,0.0,3.0,1.0,1.0
100896.js,0.0,0.3076923076923077,0.6153846153846154,0.6153846153846154
101009.js,0.0,3.0,0.0,0.0
101085.js,0.0,1.0,0.5,0.5
101196.js,0.0,2.0,0.0,0.0
101223.js,0.0,3.0,0.0,0.0
101529.js,0.0,3.0,0.0,0.0
101576.js,0.0,0.0,0.0,0.0
101606.js,0.0,0.0,0.0,0.0
101611.js,-1.0,-1.0,-1.0,-1.0
101709.js,0.0,3.0,0.0,0.0
101800.js,0.0,1.0,0.5,0.5
102055.js,0.0,3.0,0.0,0.0
102202.js,0.0,3.0,0.0,0.0
102658.js,0.0,2.0,0.0,0.0
102694.js,0.0,2.0,0.0,0.0
10292.js,-1.0,-1.0,-1.0,-1.0
102952.js,0.0,3.0,0.0,0.0
103438.js,0.0,2.0,0.0,0.0
103695.js,0.0,3.0,0.0,0.0
10398.js,0.0,2.0,0.0,0.5
104116.js,0.0,0.0,0.7142857142857143,0.5714285714285714
10414.js,-1.0,-1.0,-1.0,-1.0
10415.js,-1.0,-1.0,-1.0,-1.0
104155.js,0.0,0.75,0.0,0.0
104359.js,0.0,1.0,0.0,0.0
10485.js,-1.0,-1.0,-1.0,-1.0
10884.js,-1.0,-1.0,-1.0,-1.0
10899.js,-1.0,-1.0,-1.0,-1.0
10931.js,-1.0,-1.0,-1.0,-1.0
11062.js,0.0,0.5333333333333333,0.8666666666666667,0.8
11216.js,-1.0,-1.0,-1.0,-1.0
11427.js,0.0,0.631578947368421,0.8421052631578947,0.8947368421052632
11429.js,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
11761.js,0.0,0.3076923076923077,0.6153846153846154,0.6923076923076923
12012.js,-1.0,-1.0,-1.0,-1.0
12208.js,-1.0,-1.0,-1.0,-1.0
12224.js,0.0,0.0,0.5714285714285714,0.5714285714285714
12339.js,-1.0,-1.0,-1.0,-1.0
12476.js,-1.0,-1.0,-1.0,-1.0
1255.js,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333
12699.js,-1.0,-1.0,-1.0,-1.0
1281.js,0.0,1.0,0.0,0.3333333333333333
12896.js,-1.0,-1.0,-1.0,-1.0
13070.js,0.0,3.0,0.0,0.0
13312.js,0.0,2.0,0.0,0.5
13547.js,0.0,0.0,0.0,0.0
13575.js,0.0,0.35714285714285715,0.5714285714285714,0.6428571428571429
13620.js,0.0,3.0,0.0,0.0
13628.js,0.0,0.2727272727272727,0.5454545454545454,0.6363636363636364
13630.js,0.0,0.23076923076923078,0.5384615384615384,0.5384615384615384
13693.js,0.0,0.25,0.75,0.75
13749.js,0.0,4.0,1.0,1.0
138.js,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
1407.js,0.0,0.125,0.75,0.625
14132.js,0.0,0.0,0.0,0.0
14141.js,0.0,0.0,0.0,0.0
14233.js,-1.0,-1.0,-1.0,-1.0
1432.js,0.0,0.2,0.4,0.4
1437.js,-1.0,-1.0,-1.0,-1.0
1460.js,0.0,3.0,0.0,0.0
14648.js,-1.0,-1.0,-1.0,-1.0
14977.js,0.0,0.0,0.0,0.0
1503.js,0.0,1.0,0.0,0.3333333333333333
15292.js,0.0,0.0,0.0,0.0
15300.js,0.0,3.0,1.0,1.0
15361.js,0.0,2.0,0.0,0.0
15580.js,0.0,0.0,0.0,0.0
15783.js,0.0,0.0,0.0,0.0
15855.js,0.0,0.0,0.0,0.0
1587.js,0.0,1.0,0.3333333333333333,0.0
1590.js,0.0,0.7142857142857143,-1.0,-1.0
1616.js,0.0,0.2,0.4,0.6
16222.js,0.0,3.0,0.0,0.0
16434.js,0.0,0.0,0.0,0.0
17034.js,0.0,0.0,0.0,0.0
17041.js,0.0,0.0,0.0,0.0
1718.js,0.0,0.5,0.5,0.5
17294.js,0.0,0.0,0.0,0.0
1732.js,0.0,2.0,0.5,0.5
17569.js,0.0,2.0,0.0,0.0
1776.js,0.0,1.0,0.3333333333333333,0.0
1804.js,-1.0,-1.0,-1.0,-1.0
18204.js,-1.0,-1.0,-1.0,-1.0
18831.js,0.0,3.0,0.0,0.0
18887.js,0.0,3.0,0.0,0.0
19689.js,-1.0,-1.0,-1.0,-1.0
19732.js,0.0,0.2,0.4,0.8
19764.js,0.0,1.5,0.5,0.5
19765.js,0.0,2.0,0.5,0.5
19772.js,0.0,4.0,0.0,0.0
19847.js,0.0,0.42857142857142855,0.14285714285714285,0.14285714285714285
19912.js,0.0,1.0,0.0,0.0
19946.js,0.0,3.0,0.0,0.0
19970.js,0.0,1.0,0.3333333333333333,0.6666666666666666
19985.js,0.0,1.3333333333333333,0.3333333333333333,0.0
20050.js,0.0,2.0,0.5,0.5
20087.js,0.0,1.0,0.5,0.5
20134.js,0.0,1.5,0.5,0.5
20226.js,0.0,3.0,0.0,0.0
20252.js,0.0,3.0,0.0,0.0
20268.js,0.0,4.0,1.0,0.0
2044.js,-1.0,-1.0,-1.0,-1.0
20473.js,0.0,2.0,0.0,0.0
20524.js,0.0,3.0,0.0,0.0
20564.js,0.0,3.0,0.0,0.0
20750.js,0.0,4.0,0.0,0.0
20837.js,0.0,4.0,0.0,0.0
2096.js,-1.0,-1.0,-1.0,-1.0
21.js,0.0,2.0,0.5,0.0
2101.js,-1.0,-1.0,-1.0,-1.0
21010.js,-1.0,-1.0,-1.0,-1.0
21071.js,0.0,0.5,0.5,0.5
21163.js,0.0,1.0,0.5,0.0
21166.js,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
21170.js,0.0,1.5,0.5,0.5
2125.js,-1.0,-1.0,-1.0,-1.0
21279.js,-1.0,-1.0,-1.0,-1.0
21436.js,0.0,3.0,0.0,0.0
21552.js,0.0,2.0,0.5,0.5
21736.js,0.0,2.0,0.5,0.5
21946.js,0.0,0.5,0.25,0.5
22499.js,0.0,1.0,0.3333333333333333,0.0
22516.js,0.0,1.5,0.0,0.5
22798.js,-1.0,-1.0,-1.0,-1.0
22829.js,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
22857.js,-1.0,-1.0,-1.0,-1.0
22918.js,0.0,0.0,0.0,0.0
22924.js,-1.0,-1.0,-1.0,-1.0
22986.js,0.0,0.8571428571428571,0.8571428571428571,0.8571428571428571
2324.js,0.0,0.4,0.7,0.8
23429.js,-1.0,-1.0,-1.0,-1.0
23809.js,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
23866.js,0.0,0.0,0.0,0.0
23895.js,0.0,0.0,0.0,0.0
24270.js,0.0,0.06666666666666667,0.3333333333333333,0.3333333333333333
24292.js,0.0,0.125,0.75,0.625
24340.js,0.0,1.3333333333333333,0.0,0.3333333333333333
24371.js,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
24506.js,0.0,3.0,0.0,0.0
24860.js,0.0,3.0,0.0,0.0
24862.js,0.0,3.0,0.0,0.0
24907.js,0.0,0.2,0.4,0.6
24913.js,0.0,1.0,0.0,0.5
2496.js,0.0,3.0,0.0,0.0
25001.js,-1.0,-1.0,-1.0,-1.0
2614.js,0.0,3.0,0.0,0.0
26541.js,-1.0,-1.0,-1.0,-1.0
2656.js,0.0,0.2,0.4,0.6
27002.js,-1.0,-1.0,-1.0,-1.0
27178.js,-1.0,-1.0,-1.0,-1.0
27182.js,-1.0,-1.0,-1.0,-1.0
27245.js,-1.0,-1.0,-1.0,-1.0
27247.js,-1.0,-1.0,-1.0,-1.0
27598.js,0.0,0.125,0.375,0.375
27724.js,0.0,0.125,0.5,0.5
27838.js,0.0,0.125,0.375,0.375
27846.js,0.0,0.125,0.5,0.375
27880.js,0.0,0.125,0.375,0.375
27891.js,0.0,0.125,0.375,0.375
27902.js,0.0,0.125,0.375,0.375
28298.js,0.0,0.125,0.5,0.375
28473.js,0.0,0.125,0.5,0.375
28688.js,0.0,0.125,0.375,0.5
28808.js,0.0,0.125,0.375,0.5
28877.js,0.0,0.125,0.375,0.5
28976.js,0.0,0.125,0.375,0.375
29012.js,0.0,0.125,0.375,0.5
29132.js,0.0,0.125,0.375,0.375
29148.js,0.0,0.125,0.375,0.375
29213.js,0.0,0.125,0.375,0.5
29258.js,0.0,0.125,0.5,0.375
29294.js,0.0,0.125,0.5,0.5
29386.js,0.0,0.125,0.375,0.375
29408.js,0.0,0.125,0.5,0.375
29474.js,0.0,0.125,0.375,0.375
29533.js,0.0,0.125,0.5,0.375
29540.js,0.0,0.125,0.375,0.375
29567.js,0.0,0.125,0.375,0.375
29651.js,0.0,0.125,0.375,0.375
29704.js,0.0,0.125,0.375,0.375
29838.js,-1.0,-1.0,-1.0,-1.0
2985.js,0.0,3.0,0.0,0.0
29861.js,-1.0,-1.0,-1.0,-1.0
29913.js,-1.0,-1.0,-1.0,-1.0
29975.js,-1.0,-1.0,-1.0,-1.0
29986.js,-1.0,-1.0,-1.0,-1.0
300.js,-1.0,-1.0,-1.0,-1.0
30124.js,-1.0,-1.0,-1.0,-1.0
30293.js,-1.0,-1.0,-1.0,-1.0
30361.js,-1.0,-1.0,-1.0,-1.0
30370.js,-1.0,-1.0,-1.0,-1.0
30375.js,-1.0,-1.0,-1.0,-1.0
30403.js,-1.0,-1.0,-1.0,-1.0
30415.js,-1.0,-1.0,-1.0,-1.0
30510.js,-1.0,-1.0,-1.0,-1.0
3062.js,0.0,3.0,0.0,0.0
30712.js,-1.0,-1.0,-1.0,-1.0
30719.js,-1.0,-1.0,-1.0,-1.0
30771.js,-1.0,-1.0,-1.0,-1.0
30860.js,-1.0,-1.0,-1.0,-1.0
30876.js,-1.0,-1.0,-1.0,-1.0
30894.js,-1.0,-1.0,-1.0,-1.0
30959.js,-1.0,-1.0,-1.0,-1.0
30978.js,-1.0,-1.0,-1.0,-1.0
31344.js,-1.0,-1.0,-1.0,-1.0
31377.js,-1.0,-1.0,-1.0,-1.0
31386.js,-1.0,-1.0,-1.0,-1.0
31487.js,-1.0,-1.0,-1.0,-1.0
31552.js,-1.0,-1.0,-1.0,-1.0
31615.js,-1.0,-1.0,-1.0,-1.0
3174.js,0.0,3.0,0.0,0.0
31854.js,-1.0,-1.0,-1.0,-1.0
32013.js,-1.0,-1.0,-1.0,-1.0
32116.js,-1.0,-1.0,-1.0,-1.0
32164.js,-1.0,-1.0,-1.0,-1.0
32188.js,-1.0,-1.0,-1.0,-1.0
32279.js,-1.0,-1.0,-1.0,-1.0
32369.js,-1.0,-1.0,-1.0,-1.0
32515.js,-1.0,-1.0,-1.0,-1.0
32551.js,-1.0,-1.0,-1.0,-1.0
32556.js,-1.0,-1.0,-1.0,-1.0
32626.js,-1.0,-1.0,-1.0,-1.0
32745.js,-1.0,-1.0,-1.0,-1.0
32747.js,-1.0,-1.0,-1.0,-1.0
3284.js,0.0,3.0,0.0,0.0
32843.js,-1.0,-1.0,-1.0,-1.0
32846.js,-1.0,-1.0,-1.0,-1.0
32896.js,-1.0,-1.0,-1.0,-1.0
33023.js,-1.0,-1.0,-1.0,-1.0
33031.js,-1.0,-1.0,-1.0,-1.0
33046.js,-1.0,-1.0,-1.0,-1.0
33261.js,-1.0,-1.0,-1.0,-1.0
33341.js,-1.0,-1.0,-1.0,-1.0
33370.js,-1.0,-1.0,-1.0,-1.0
33397.js,-1.0,-1.0,-1.0,-1.0
33427.js,-1.0,-1.0,-1.0,-1.0
33489.js,-1.0,-1.0,-1.0,-1.0
3354.js,0.0,3.0,0.0,0.0
33586.js,-1.0,-1.0,-1.0,-1.0
33599.js,-1.0,-1.0,-1.0,-1.0
33613.js,-1.0,-1.0,-1.0,-1.0
33634.js,-1.0,-1.0,-1.0,-1.0
33835.js,-1.0,-1.0,-1.0,-1.0
33895.js,-1.0,-1.0,-1.0,-1.0
3391.js,0.0,3.0,0.0,0.0
34023.js,-1.0,-1.0,-1.0,-1.0
34055.js,-1.0,-1.0,-1.0,-1.0
34209.js,-1.0,-1.0,-1.0,-1.0
34265.js,-1.0,-1.0,-1.0,-1.0
34292.js,-1.0,-1.0,-1.0,-1.0
34322.js,-1.0,-1.0,-1.0,-1.0
34401.js,-1.0,-1.0,-1.0,-1.0
34522.js,-1.0,-1.0,-1.0,-1.0
34526.js,-1.0,-1.0,-1.0,-1.0
34534.js,-1.0,-1.0,-1.0,-1.0
34553.js,-1.0,-1.0,-1.0,-1.0
34602.js,-1.0,-1.0,-1.0,-1.0
34620.js,-1.0,-1.0,-1.0,-1.0
34631.js,-1.0,-1.0,-1.0,-1.0
3465.js,0.0,3.0,0.0,0.0
34651.js,-1.0,-1.0,-1.0,-1.0
34848.js,-1.0,-1.0,-1.0,-1.0
34903.js,-1.0,-1.0,-1.0,-1.0
34939.js,-1.0,-1.0,-1.0,-1.0
34947.js,-1.0,-1.0,-1.0,-1.0
35296.js,-1.0,-1.0,-1.0,-1.0
35349.js,-1.0,-1.0,-1.0,-1.0
35400.js,-1.0,-1.0,-1.0,-1.0
35504.js,-1.0,-1.0,-1.0,-1.0
35540.js,-1.0,-1.0,-1.0,-1.0
3558.js,0.0,0.5714285714285714,0.8571428571428571,0.7857142857142857
35829.js,-1.0,-1.0,-1.0,-1.0
35855.js,-1.0,-1.0,-1.0,-1.0
35958.js,-1.0,-1.0,-1.0,-1.0
35993.js,-1.0,-1.0,-1.0,-1.0
36135.js,-1.0,-1.0,-1.0,-1.0
36317.js,-1.0,-1.0,-1.0,-1.0
36371.js,-1.0,-1.0,-1.0,-1.0
36376.js,-1.0,-1.0,-1.0,-1.0
36511.js,-1.0,-1.0,-1.0,-1.0
36516.js,-1.0,-1.0,-1.0,-1.0
3653.js,0.0,3.0,0.0,0.0
3659.js,0.0,3.0,0.0,0.0
36637.js,-1.0,-1.0,-1.0,-1.0
36662.js,-1.0,-1.0,-1.0,-1.0
36903.js,-1.0,-1.0,-1.0,-1.0
37088.js,-1.0,-1.0,-1.0,-1.0
37159.js,-1.0,-1.0,-1.0,-1.0
3717.js,0.0,3.0,0.0,0.0
3718.js,0.0,3.0,0.0,0.0
37277.js,-1.0,-1.0,-1.0,-1.0
37464.js,-1.0,-1.0,-1.0,-1.0
37503.js,-1.0,-1.0,-1.0,-1.0
37610.js,-1.0,-1.0,-1.0,-1.0
37699.js,-1.0,-1.0,-1.0,-1.0
37864.js,-1.0,-1.0,-1.0,-1.0
37998.js,-1.0,-1.0,-1.0,-1.0
38001.js,-1.0,-1.0,-1.0,-1.0
3801.js,0.0,3.0,0.0,0.0
38031.js,-1.0,-1.0,-1.0,-1.0
38090.js,-1.0,-1.0,-1.0,-1.0
38102.js,-1.0,-1.0,-1.0,-1.0
38161.js,-1.0,-1.0,-1.0,-1.0
38177.js,-1.0,-1.0,-1.0,-1.0
38295.js,-1.0,-1.0,-1.0,-1.0
38411.js,-1.0,-1.0,-1.0,-1.0
38472.js,-1.0,-1.0,-1.0,-1.0
38577.js,-1.0,-1.0,-1.0,-1.0
38607.js,-1.0,-1.0,-1.0,-1.0
38617.js,-1.0,-1.0,-1.0,-1.0
3873.js,0.0,3.0,0.0,0.0
38760.js,0.0,0.125,0.375,0.5
38786.js,0.0,0.125,0.375,0.375
38807.js,0.0,0.125,0.375,0.375
38815.js,0.0,0.125,0.375,0.375
38823.js,0.0,0.125,0.375,0.375
3884.js,0.0,3.0,0.0,0.0
38872.js,0.0,0.125,0.5,0.375
38970.js,0.0,0.125,0.375,0.5
39025.js,0.0,0.125,0.5,0.375
3924.js,0.0,1.0,0.3333333333333333,0.3333333333333333
39278.js,0.0,0.125,0.375,0.375
39287.js,0.0,0.09090909090909091,0.2727272727272727,0.2727272727272727
39463.js,0.0,0.125,0.375,0.375
3949.js,0.0,3.0,0.0,0.0
39563.js,0.0,0.125,0.5,0.5
39575.js,0.0,0.125,0.375,0.375
39641.js,0.0,0.125,0.375,0.5
39657.js,0.0,0.125,0.375,0.5
39685.js,0.0,0.125,0.5,0.375
39689.js,0.0,0.125,0.375,0.375
39795.js,0.0,0.125,0.375,0.5
39835.js,0.0,0.125,0.375,0.375
39845.js,0.0,0.125,0.5,0.5
39953.js,0.0,0.125,0.375,0.375
39987.js,0.0,0.125,0.375,0.375
40095.js,0.0,0.125,0.5,0.5
40133.js,0.0,0.125,0.375,0.375
40172.js,0.0,0.125,0.375,0.5
40283.js,0.0,0.125,0.5,0.5
4041.js,0.0,2.0,0.0,0.0
40486.js,0.0,0.125,0.375,0.375
40512.js,0.0,0.125,0.375,0.375
4075.js,0.0,3.0,0.0,0.0
40938.js,0.0,0.125,0.375,0.5
40984.js,0.0,0.125,0.5,0.375
41114.js,0.0,0.125,0.5,0.375
41351.js,0.0,0.125,0.5,0.375
41427.js,0.0,0.125,0.375,0.375
41525.js,0.0,0.125,0.375,0.375
4165.js,0.0,3.0,0.0,0.0
41703.js,0.0,0.125,0.375,0.375
41746.js,0.0,0.125,0.375,0.375
41759.js,0.0,0.125,0.5,0.375
41785.js,0.0,0.125,0.375,0.375
41931.js,0.0,0.125,0.375,0.375
41949.js,0.0,0.125,0.375,0.5
42393.js,0.0,0.125,0.375,0.375
42462.js,0.0,0.125,0.5,0.5
42466.js,0.0,0.125,0.375,0.375
42622.js,0.0,0.125,0.375,0.375
42641.js,0.0,0.125,0.5,0.375
42720.js,0.0,0.125,0.375,0.375
42722.js,0.0,0.125,0.5,0.375
42892.js,0.0,0.125,0.375,0.375
42984.js,0.0,0.125,0.375,0.375
43082.js,0.0,0.125,0.375,0.375
43405.js,0.0,0.125,0.375,0.5
43492.js,0.0,0.125,0.375,0.375
43566.js,0.0,0.125,0.375,0.375
43851.js,0.0,0.125,0.5,0.375
43891.js,0.0,0.125,0.375,0.5
43898.js,0.0,0.125,0.375,0.375
43931.js,0.0,0.125,0.5,0.375
43981.js,0.0,0.125,0.5,0.5
44079.js,0.0,0.125,0.375,0.375
44114.js,0.0,0.125,0.5,0.5
44122.js,0.0,0.125,0.5,0.375
44139.js,0.0,0.125,0.5,0.375
44169.js,0.0,0.125,0.375,0.375
44293.js,0.0,0.125,0.375,0.5
44333.js,0.0,0.125,0.375,0.375
44354.js,0.0,0.09090909090909091,0.2727272727272727,0.2727272727272727
44431.js,0.0,0.125,0.5,0.375
44471.js,0.0,0.125,0.375,0.375
44473.js,0.0,0.125,0.375,0.375
44518.js,0.0,0.125,0.5,0.375
44553.js,0.0,0.125,0.375,0.375
44575.js,0.0,0.125,0.375,0.375
44576.js,0.0,0.125,0.375,0.375
44624.js,0.0,0.125,0.375,0.375
44685.js,0.0,0.125,0.375,0.375
448.js,-1.0,-1.0,-1.0,-1.0
44963.js,0.0,0.125,0.5,0.375
45063.js,0.0,0.125,0.375,0.375
45101.js,0.0,0.125,0.375,0.375
45107.js,0.0,0.125,0.375,0.375
45154.js,0.0,0.125,0.375,0.5
45220.js,0.0,0.125,0.375,0.375
45243.js,0.0,0.125,0.375,0.375
45324.js,0.0,0.125,0.375,0.5
45333.js,0.0,0.125,0.5,0.5
45502.js,0.0,0.75,0.0,0.25
45730.js,-1.0,-1.0,-1.0,-1.0
45861.js,-1.0,-1.0,-1.0,-1.0
45919.js,-1.0,-1.0,-1.0,-1.0
46.js,0.0,1.3333333333333333,0.0,0.3333333333333333
46063.js,-1.0,-1.0,-1.0,-1.0
46104.js,-1.0,-1.0,-1.0,-1.0
46111.js,-1.0,-1.0,-1.0,-1.0
46413.js,-1.0,-1.0,-1.0,-1.0
46432.js,0.0,2.0,0.5,0.5
4654.js,0.0,1.5,1.0,0.0
46572.js,-1.0,-1.0,-1.0,-1.0
4676.js,0.0,1.0,0.0,0.3333333333333333
46860.js,-1.0,-1.0,-1.0,-1.0
47010.js,-1.0,-1.0,-1.0,-1.0
47021.js,-1.0,-1.0,-1.0,-1.0
47113.js,-1.0,-1.0,-1.0,-1.0
47154.js,0.0,0.2,0.6,0.6
47250.js,-1.0,-1.0,-1.0,-1.0
47289.js,0.0,3.0,0.0,0.0
47526.js,-1.0,-1.0,-1.0,-1.0
47656.js,0.0,3.0,0.0,0.0
48874.js,-1.0,-1.0,-1.0,-1.0
48940.js,-1.0,-1.0,-1.0,-1.0
49340.js,0.0,3.0,0.0,0.0
49662.js,0.0,3.0,0.0,0.0
49680.js,0.0,3.0,0.0,0.0
49711.js,0.0,3.0,0.0,0.0
50055.js,0.0,2.0,0.0,0.0
50084.js,0.0,2.0,0.0,0.0
50145.js,0.0,2.0,0.0,0.0
50382.js,0.5,1.5,1.0,1.0
50435.js,0.0,2.0,0.0,0.0
50453.js,0.0,2.0,0.0,0.0
50529.js,0.0,3.0,0.0,0.0
50562.js,0.0,3.0,0.0,0.0
50570.js,0.0,3.0,0.0,0.0
50605.js,0.0,2.0,0.0,0.0
50674.js,0.0,2.0,0.0,0.0
50721.js,0.0,2.0,0.0,0.0
50732.js,0.0,2.0,0.0,0.0
51042.js,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857
51051.js,0.0,0.75,0.25,0.25
51153.js,0.0,0.16666666666666666,0.6666666666666666,0.6666666666666666
51297.js,0.0,0.4,0.4,0.6
51515.js,0.0,0.6,0.2,0.2
51803.js,0.0,3.0,0.0,0.0
51903.js,0.0,3.0,0.0,0.0
5191.js,0.0,2.0,0.0,0.5
51915.js,0.0,3.0,0.0,0.0
51925.js,0.0,3.0,0.0,0.0
51930.js,0.0,3.0,0.0,0.0
52115.js,0.0,3.0,0.0,0.0
5217.js,0.0,1.0,0.0,0.0
52191.js,0.0,3.0,0.0,0.0
52286.js,0.0,3.0,0.0,0.0
52340.js,0.0,3.0,0.0,0.0
524.js,-1.0,-1.0,-1.0,-1.0
52423.js,0.0,3.0,0.0,0.0
5246.js,0.0,0.3,0.7,0.6
52707.js,0.0,0.0,0.7142857142857143,0.5714285714285714
52733.js,0.0,0.2857142857142857,0.2857142857142857,0.42857142857142855
52883.js,0.0,0.1,0.5,0.5
52943.js,0.0,0.6,0.4,0.2
53065.js,0.0,3.0,0.0,0.0
53075.js,0.0,0.25,0.5833333333333334,0.5833333333333334
53082.js,-1.0,-1.0,-1.0,-1.0
53399.js,0.0,0.8,0.0,0.2
53620.js,0.0,0.4,0.4,0.6
53628.js,0.0,0.0,0.2857142857142857,0.35714285714285715
53659.js,0.0,0.1,0.6,0.6
53667.js,0.0,0.38461538461538464,0.6923076923076923,0.6923076923076923
53673.js,0.0,0.4,0.4,0.4
53701.js,0.0,0.0,0.7142857142857143,0.5714285714285714
53741.js,0.0,0.0,0.4444444444444444,0.4444444444444444
53868.js,0.0,0.23076923076923078,0.07692307692307693,0.07692307692307693
5396.js,0.0,0.043478260869565216,0.13043478260869565,0.13043478260869565
53980.js,0.0,0.1111111111111111,0.5555555555555556,0.5555555555555556
54129.js,0.0,0.5625,0.875,0.875
54354.js,0.0,0.1,0.5,0.5
54409.js,0.0,0.38461538461538464,0.6923076923076923,0.6923076923076923
54693.js,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855
54815.js,0.0,0.6,0.4,0.4
54985.js,0.0,0.1,0.5,0.5
55287.js,0.0,0.1,0.5,0.5
55447.js,0.0,0.46153846153846156,0.5641025641025641,0.5897435897435898
55460.js,0.0,0.0,0.5,0.5
55478.js,0.0,0.1,0.3,0.3
55560.js,0.0,0.18181818181818182,0.5454545454545454,0.5454545454545454
55570.js,0.0,0.0,0.4444444444444444,0.4444444444444444
5565.js,0.0,1.0,0.0,0.0
55685.js,0.0,0.5609756097560976,0.6097560975609756,0.6097560975609756
55856.js,0.0,0.1,0.4,0.3
55876.js,0.0,0.3,0.8,0.8
55879.js,0.0,0.125,0.625,0.625
56064.js,0.0,0.08333333333333333,0.5,0.4166666666666667
56095.js,0.0,0.0,0.4,0.4
56372.js,0.0,0.16666666666666666,0.5,0.6666666666666666
56410.js,0.0,0.09090909090909091,0.45454545454545453,0.45454545454545453
56547.js,0.0,0.3333333333333333,0.1111111111111111,0.1111111111111111
56601.js,0.0,0.0,0.5,0.5
56923.js,0.0,0.25,0.45,0.45
57025.js,0.0,1.5,0.0,0.5
57145.js,-1.0,-1.0,-1.0,-1.0
57223.js,0.0,0.46153846153846156,0.8461538461538461,0.7692307692307693
57320.js,0.0,3.0,0.0,0.0
57339.js,0.0,0.0,0.0,0.0
57449.js,0.0,1.0,0.5,0.5
57481.js,0.0,0.3333333333333333,0.8333333333333334,0.8333333333333334
57567.js,0.0,0.0,1.0,1.0
