FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted
10007.js,-1.0,-1.0,-1.0
100217.js,-1.0,-1.0,-1.0
100402.js,-1.0,-1.0,-1.0
100420.js,-1.0,-1.0,-1.0
100516.js,-1.0,-1.0,-1.0
100601.js,-1.0,-1.0,-1.0
100610.js,-1.0,-1.0,-1.0
100691.js,1.0,1.6,1.0
10085.js,-1.0,-1.0,-1.0
100896.js,1.0,1.2307692307692308,1.0
101009.js,1.0,4.0,1.0
101261.js,-1.0,-1.0,-1.0
101576.js,1.0,1.0,-1.0
101611.js,-1.0,-1.0,-1.0
104155.js,1.0,1.75,1.0
104250.js,-1.0,-1.0,-1.0
104310.js,-1.0,-1.0,-1.0
104333.js,-1.0,-1.0,-1.0
104359.js,1.0,2.0,-1.0
104431.js,-1.0,-1.0,-1.0
104510.js,-1.0,-1.0,-1.0
10805.js,-1.0,-1.0,-1.0
11062.js,1.0,1.2,1.0
1111.js,-1.0,-1.0,-1.0
1115.js,-1.0,-1.0,-1.0
11245.js,-1.0,-1.0,-1.0
1130.js,-1.0,-1.0,-1.0
1225.js,-1.0,-1.0,-1.0
1255.js,1.0,1.5,-1.0
12627.js,-1.0,-1.0,-1.0
1263.js,-1.0,-1.0,-1.0
1281.js,1.0,2.0,-1.0
13025.js,-1.0,-1.0,-1.0
13048.js,-1.0,-1.0,-1.0
13070.js,1.0,4.0,1.0
13131.js,-1.0,-1.0,-1.0
13134.js,-1.0,-1.0,-1.0
13201.js,-1.0,-1.0,-1.0
13312.js,1.0,2.5,1.0
13476.js,-1.0,-1.0,-1.0
13501.js,-1.0,-1.0,-1.0
13522.js,-1.0,-1.0,-1.0
13554.js,-1.0,-1.0,-1.0
13560.js,-1.0,-1.0,-1.0
1363.js,-1.0,-1.0,-1.0
13693.js,1.0,1.75,-1.0
138.js,1.0,1.5,1.0
1407.js,1.0,1.375,1.0
14959.js,-1.0,-1.0,-1.0
15193.js,-1.0,-1.0,-1.0
15741.js,-1.0,-1.0,-1.0
15783.js,1.0,1.0,-1.0
1590.js,1.0,1.1428571428571428,-1.0
1616.js,1.0,1.6,-1.0
1689.js,-1.0,-1.0,-1.0
17294.js,1.0,4.0,1.0
17302.js,-1.0,-1.0,-1.0
17395.js,-1.0,-1.0,-1.0
1798.js,-1.0,-1.0,-1.0
1804.js,-1.0,-1.0,-1.0
1836.js,-1.0,-1.0,-1.0
18831.js,1.0,4.0,1.0
18884.js,-1.0,-1.0,-1.0
18887.js,1.0,4.0,1.0
1891.js,-1.0,-1.0,-1.0
19194.js,-1.0,-1.0,-1.0
19199.js,-1.0,-1.0,-1.0
19250.js,-1.0,-1.0,-1.0
19689.js,-1.0,-1.0,-1.0
19742.js,-1.0,-1.0,-1.0
19764.js,1.0,2.5,1.0
1988.js,-1.0,-1.0,-1.0
19942.js,-1.0,-1.0,-1.0
19970.js,1.0,2.0,1.0
19974.js,-1.0,-1.0,-1.0
20055.js,-1.0,-1.0,-1.0
20087.js,1.0,2.5,1.0
20200.js,-1.0,-1.0,-1.0
2023.js,-1.0,-1.0,-1.0
20278.js,-1.0,-1.0,-1.0
20351.js,-1.0,-1.0,-1.0
20358.js,-1.0,-1.0,-1.0
2039.js,-1.0,-1.0,-1.0
20447.js,-1.0,-1.0,-1.0
20458.js,-1.0,-1.0,-1.0
20473.js,1.0,4.0,1.0
20481.js,-1.0,-1.0,-1.0
20524.js,1.0,4.0,1.0
20688.js,-1.0,-1.0,-1.0
2096.js,-1.0,-1.0,-1.0
21.js,1.0,2.5,1.0
2101.js,-1.0,-1.0,-1.0
21166.js,1.0,2.0,-1.0
2122.js,-1.0,-1.0,-1.0
2125.js,-1.0,-1.0,-1.0
21279.js,-1.0,-1.0,-1.0
21552.js,1.0,2.5,1.0
21674.js,-1.0,-1.0,-1.0
21744.js,-1.0,-1.0,-1.0
21789.js,-1.0,-1.0,-1.0
218.js,-1.0,-1.0,-1.0
21808.js,-1.0,-1.0,-1.0
22074.js,-1.0,-1.0,-1.0
22080.js,-1.0,-1.0,-1.0
22366.js,-1.0,-1.0,-1.0
22499.js,1.0,2.0,1.0
22516.js,1.0,2.5,1.0
22586.js,-1.0,-1.0,-1.0
22601.js,-1.0,-1.0,-1.0
23434.js,-1.0,-1.0,-1.0
23633.js,-1.0,-1.0,-1.0
23660.js,-1.0,-1.0,-1.0
23866.js,1.0,1.0,-1.0
23895.js,1.0,1.0,-1.0
23938.js,-1.0,-1.0,-1.0
24171.js,-1.0,-1.0,-1.0
24176.js,-1.0,-1.0,-1.0
24270.js,1.0,1.2,1.0
24347.js,-1.0,-1.0,-1.0
24432.js,-1.0,-1.0,-1.0
24438.js,-1.0,-1.0,-1.0
24506.js,1.0,1.0,-1.0
24615.js,-1.0,-1.0,-1.0
24860.js,1.0,4.0,-1.0
24862.js,1.0,4.0,-1.0
24907.js,1.0,1.6,-1.0
24913.js,1.0,2.5,-1.0
24988.js,-1.0,-1.0,-1.0
25001.js,-1.0,-1.0,-1.0
26383.js,-1.0,-1.0,-1.0
26398.js,-1.0,-1.0,-1.0
26541.js,-1.0,-1.0,-1.0
27178.js,-1.0,-1.0,-1.0
27182.js,-1.0,-1.0,-1.0
27247.js,-1.0,-1.0,-1.0
27258.js,-1.0,-1.0,-1.0
27353.js,-1.0,-1.0,-1.0
27441.js,-1.0,-1.0,-1.0
27443.js,-1.0,-1.0,-1.0
29491.js,-1.0,-1.0,-1.0
300.js,-1.0,-1.0,-1.0
320.js,-1.0,-1.0,-1.0
337.js,-1.0,-1.0,-1.0
39287.js,1.0,1.2727272727272727,1.0
4041.js,1.0,4.0,-1.0
4075.js,1.0,4.0,-1.0
4089.js,-1.0,-1.0,-1.0
4139.js,-1.0,-1.0,-1.0
4165.js,1.0,4.0,-1.0
4307.js,-1.0,-1.0,-1.0
43149.js,-1.0,-1.0,-1.0
44354.js,1.0,1.2727272727272727,1.0
448.js,-1.0,-1.0,-1.0
45485.js,-1.0,-1.0,-1.0
45491.js,-1.0,-1.0,-1.0
45493.js,-1.0,-1.0,-1.0
45502.js,1.0,1.75,-1.0
45505.js,-1.0,-1.0,-1.0
45510.js,-1.0,-1.0,-1.0
45545.js,-1.0,-1.0,-1.0
45639.js,-1.0,-1.0,-1.0
45681.js,-1.0,-1.0,-1.0
45730.js,-1.0,-1.0,-1.0
45919.js,-1.0,-1.0,-1.0
46104.js,-1.0,-1.0,-1.0
46413.js,-1.0,-1.0,-1.0
46432.js,1.0,2.5,1.0
4676.js,1.0,2.0,-1.0
4677.js,-1.0,-1.0,-1.0
46860.js,-1.0,-1.0,-1.0
4698.js,-1.0,-1.0,-1.0
471.js,-1.0,-1.0,-1.0
47113.js,-1.0,-1.0,-1.0
47250.js,-1.0,-1.0,-1.0
473.js,-1.0,-1.0,-1.0
47409.js,-1.0,-1.0,-1.0
4764.js,-1.0,-1.0,-1.0
4861.js,-1.0,-1.0,-1.0
48748.js,-1.0,-1.0,-1.0
48769.js,-1.0,-1.0,-1.0
48940.js,-1.0,-1.0,-1.0
490.js,-1.0,-1.0,-1.0
49416.js,-1.0,-1.0,-1.0
4945.js,-1.0,-1.0,-1.0
49662.js,1.0,4.0,1.0
49663.js,-1.0,-1.0,-1.0
49711.js,1.0,4.0,-1.0
49847.js,-1.0,-1.0,-1.0
4998.js,-1.0,-1.0,-1.0
50055.js,1.0,4.0,-1.0
50084.js,1.0,4.0,-1.0
50130.js,-1.0,-1.0,-1.0
50145.js,1.0,4.0,-1.0
50198.js,-1.0,-1.0,-1.0
50341.js,-1.0,-1.0,-1.0
50345.js,-1.0,-1.0,-1.0
50370.js,-1.0,-1.0,-1.0
50382.js,0.5,2.5,-1.0
50402.js,-1.0,-1.0,-1.0
50435.js,1.0,4.0,-1.0
50441.js,-1.0,-1.0,-1.0
50453.js,1.0,4.0,1.0
50524.js,-1.0,-1.0,-1.0
50529.js,1.0,4.0,1.0
50552.js,-1.0,-1.0,-1.0
50562.js,1.0,4.0,1.0
50570.js,1.0,4.0,1.0
50600.js,-1.0,-1.0,-1.0
50605.js,1.0,4.0,1.0
50635.js,-1.0,-1.0,-1.0
50646.js,-1.0,-1.0,-1.0
50674.js,1.0,4.0,1.0
50693.js,-1.0,-1.0,-1.0
50721.js,1.0,4.0,-1.0
50732.js,1.0,4.0,-1.0
50735.js,-1.0,-1.0,-1.0
50818.js,-1.0,-1.0,-1.0
50889.js,-1.0,-1.0,-1.0
51012.js,-1.0,-1.0,-1.0
51042.js,1.0,1.4285714285714286,1.0
51051.js,1.0,1.75,1.0
51070.js,-1.0,-1.0,-1.0
51083.js,-1.0,-1.0,-1.0
5111.js,-1.0,-1.0,-1.0
51151.js,-1.0,-1.0,-1.0
51153.js,1.0,1.5,1.0
51188.js,-1.0,-1.0,-1.0
5133.js,-1.0,-1.0,-1.0
5134.js,-1.0,-1.0,-1.0
51378.js,-1.0,-1.0,-1.0
51515.js,1.0,1.6,1.0
51603.js,-1.0,-1.0,-1.0
51738.js,-1.0,-1.0,-1.0
5200.js,-1.0,-1.0,-1.0
5213.js,-1.0,-1.0,-1.0
5214.js,-1.0,-1.0,-1.0
5217.js,1.0,2.0,1.0
524.js,-1.0,-1.0,-1.0
5246.js,1.0,1.3,1.0
5259.js,-1.0,-1.0,-1.0
5262.js,-1.0,-1.0,-1.0
52707.js,1.0,1.4285714285714286,-1.0
52733.js,1.0,1.4285714285714286,-1.0
52883.js,1.0,1.3,-1.0
53082.js,-1.0,-1.0,-1.0
53089.js,-1.0,-1.0,-1.0
53097.js,-1.0,-1.0,-1.0
53217.js,-1.0,-1.0,-1.0
5323.js,-1.0,-1.0,-1.0
53346.js,-1.0,-1.0,-1.0
53380.js,-1.0,-1.0,-1.0
53384.js,-1.0,-1.0,-1.0
53399.js,1.0,1.6,-1.0
53473.js,-1.0,-1.0,-1.0
53509.js,-1.0,-1.0,-1.0
53531.js,-1.0,-1.0,-1.0
53628.js,1.0,1.2142857142857142,1.0
53651.js,-1.0,-1.0,-1.0
53741.js,1.0,1.3333333333333333,1.0
53868.js,1.0,1.2307692307692308,-1.0
5394.js,-1.0,-1.0,-1.0
5396.js,1.0,1.065217391304348,-1.0
5403.js,-1.0,-1.0,-1.0
54129.js,1.0,1.1875,1.0
54238.js,-1.0,-1.0,-1.0
5431.js,-1.0,-1.0,-1.0
54354.js,1.0,1.3,1.0
5449.js,-1.0,-1.0,-1.0
54815.js,1.0,1.6,1.0
54874.js,-1.0,-1.0,-1.0
55065.js,-1.0,-1.0,-1.0
55073.js,-1.0,-1.0,-1.0
5525.js,-1.0,-1.0,-1.0
55287.js,1.0,1.3,1.0
55289.js,-1.0,-1.0,-1.0
55350.js,-1.0,-1.0,-1.0
55447.js,1.0,1.0769230769230769,1.0
55483.js,-1.0,-1.0,-1.0
55560.js,1.0,1.2727272727272727,-1.0
55570.js,1.0,1.3333333333333333,1.0
5565.js,1.0,2.0,1.0
55685.js,1.0,1.0365853658536586,1.0
55725.js,-1.0,-1.0,-1.0
55733.js,-1.0,-1.0,-1.0
55856.js,1.0,1.3,1.0
56047.js,-1.0,-1.0,-1.0
56167.js,-1.0,-1.0,-1.0
56216.js,-1.0,-1.0,-1.0
5623.js,-1.0,-1.0,-1.0
56348.js,-1.0,-1.0,-1.0
56372.js,1.0,1.5,1.0
56410.js,1.0,1.2727272727272727,1.0
56418.js,-1.0,-1.0,-1.0
5646.js,-1.0,-1.0,-1.0
56467.js,-1.0,-1.0,-1.0
56478.js,-1.0,-1.0,-1.0
56487.js,-1.0,-1.0,-1.0
5649.js,-1.0,-1.0,-1.0
56547.js,1.0,1.3333333333333333,-1.0
56601.js,1.0,1.375,-1.0
56727.js,-1.0,-1.0,-1.0
56892.js,-1.0,-1.0,-1.0
56923.js,1.0,1.15,-1.0
57025.js,1.0,2.5,1.0
5711.js,-1.0,-1.0,-1.0
57194.js,-1.0,-1.0,-1.0
57223.js,1.0,1.2307692307692308,-1.0
57426.js,-1.0,-1.0,-1.0
57449.js,1.0,2.5,1.0
57455.js,-1.0,-1.0,-1.0
57567.js,1.0,1.0,-1.0
5758.js,1.0,1.375,-1.0
57583.js,1.0,1.1111111111111112,1.0
57617.js,1.0,2.0,-1.0
57698.js,1.0,1.5,1.0
5784.js,-1.0,-1.0,-1.0
57951.js,-1.0,-1.0,-1.0
57964.js,-1.0,-1.0,-1.0
57973.js,-1.0,-1.0,-1.0
58032.js,-1.0,-1.0,-1.0
58229.js,1.0,1.4285714285714286,1.0
58294.js,-1.0,-1.0,-1.0
58412.js,1.0,1.4285714285714286,-1.0
58487.js,-1.0,-1.0,-1.0
58550.js,1.0,1.3,1.0
58570.js,1.0,2.0,1.0
58616.js,-1.0,-1.0,-1.0
58645.js,-1.0,-1.0,-1.0
58685.js,1.0,1.0666666666666667,1.0
5888.js,-1.0,-1.0,-1.0
59012.js,-1.0,-1.0,-1.0
5905.js,1.0,4.0,-1.0
59075.js,-1.0,-1.0,-1.0
59093.js,1.0,2.5,1.0
59099.js,1.0,2.0,1.0
59106.js,1.0,1.1764705882352942,-1.0
59117.js,-1.0,-1.0,-1.0
59156.js,-1.0,-1.0,-1.0
59164.js,-1.0,-1.0,-1.0
59167.js,-1.0,-1.0,-1.0
59261.js,-1.0,-1.0,-1.0
59294.js,-1.0,-1.0,-1.0
59296.js,1.0,1.3,-1.0
59309.js,1.0,1.4285714285714286,1.0
59540.js,1.0,1.6,-1.0
59730.js,-1.0,-1.0,-1.0
59875.js,1.0,1.0,-1.0
6010.js,1.0,4.0,1.0
6014.js,-1.0,-1.0,-1.0
60275.js,-1.0,-1.0,-1.0
60326.js,1.0,2.5,1.0
60393.js,1.0,1.4285714285714286,1.0
60544.js,-1.0,-1.0,-1.0
60633.js,-1.0,-1.0,-1.0
60774.js,-1.0,-1.0,-1.0
60820.js,1.0,2.5,1.0
60881.js,-1.0,-1.0,-1.0
60966.js,-1.0,-1.0,-1.0
61006.js,-1.0,-1.0,-1.0
61022.js,1.0,2.0,1.0
61136.js,-1.0,-1.0,-1.0
61201.js,1.0,1.4285714285714286,1.0
61344.js,-1.0,-1.0,-1.0
61443.js,1.0,1.2,1.0
61603.js,0.8571428571428571,1.4285714285714286,1.0
6162.js,-1.0,-1.0,-1.0
61642.js,1.0,1.375,1.0
61708.js,-1.0,-1.0,-1.0
61733.js,-1.0,-1.0,-1.0
61748.js,-1.0,-1.0,-1.0
6175.js,1.0,2.5,-1.0
61757.js,1.0,1.6,1.0
61844.js,-1.0,-1.0,-1.0
61902.js,1.0,1.1578947368421053,1.0
61980.js,-1.0,-1.0,-1.0
61999.js,1.0,1.25,1.0
62048.js,1.0,1.6,1.0
62225.js,-1.0,-1.0,-1.0
62277.js,1.0,2.0,-1.0
6233.js,-1.0,-1.0,-1.0
62368.js,-1.0,-1.0,-1.0
62461.js,0.75,1.75,1.0
62479.js,1.0,1.09375,-1.0
62696.js,-1.0,-1.0,-1.0
62703.js,-1.0,-1.0,-1.0
62758.js,1.0,1.0535714285714286,1.0
6279.js,1.0,4.0,1.0
62860.js,-1.0,-1.0,-1.0
62914.js,1.0,1.2142857142857142,-1.0
62961.js,-1.0,-1.0,-1.0
62996.js,-1.0,-1.0,-1.0
63048.js,1.0,1.6,1.0
63067.js,-1.0,-1.0,-1.0
63121.js,-1.0,-1.0,-1.0
63155.js,1.0,1.375,1.0
63163.js,-1.0,-1.0,-1.0
63189.js,-1.0,-1.0,-1.0
6329.js,-1.0,-1.0,-1.0
63301.js,1.0,4.0,-1.0
63316.js,-1.0,-1.0,-1.0
634.js,1.0,4.0,1.0
63436.js,-1.0,-1.0,-1.0
63481.js,-1.0,-1.0,-1.0
63520.js,-1.0,-1.0,-1.0
63540.js,-1.0,-1.0,-1.0
63628.js,1.0,1.1764705882352942,1.0
63663.js,-1.0,-1.0,-1.0
63674.js,1.0,1.0128755364806867,-1.0
63698.js,-1.0,-1.0,-1.0
6370.js,1.0,4.0,1.0
63735.js,-1.0,-1.0,-1.0
63757.js,1.0,1.25,1.0
63832.js,-1.0,-1.0,-1.0
63886.js,-1.0,-1.0,-1.0
63991.js,-1.0,-1.0,-1.0
64206.js,1.0,2.5,1.0
6422.js,1.0,4.0,1.0
64381.js,-1.0,-1.0,-1.0
64405.js,-1.0,-1.0,-1.0
64486.js,-1.0,-1.0,-1.0
64731.js,1.0,2.0,1.0
6476.js,1.0,4.0,-1.0
64890.js,-1.0,-1.0,-1.0
64988.js,-1.0,-1.0,-1.0
6500.js,1.0,2.5,-1.0
65036.js,0.9393939393939394,1.0909090909090908,-1.0
65052.js,1.0,-1.0,-1.0
65083.js,-1.0,-1.0,-1.0
65192.js,-1.0,-1.0,-1.0
65219.js,1.0,1.25,-1.0
65234.js,-1.0,-1.0,-1.0
65267.js,1.0,1.3,-1.0
65290.js,-1.0,-1.0,-1.0
65321.js,1.0,1.25,1.0
65545.js,-1.0,-1.0,-1.0
6566.js,-1.0,-1.0,-1.0
65663.js,-1.0,-1.0,-1.0
65828.js,-1.0,-1.0,-1.0
6586.js,1.0,4.0,-1.0
