FileName,ugly,recover,jsdec,illu,sd
100094.js,1.0,1.0,-1.0,1.0,0.09325048082403138
100561.js,1.0,1.0,-1.0,1.0,0.06810052246069989
100583.js,1.0,1.0,-1.0,1.0,0.09421683286017896
100586.js,1.0,1.0,-1.0,1.0,0.02691909510290828
100691.js,1.0,1.0,-1.0,1.0,0.2165664276297649
100815.js,1.0,1.0,-1.0,1.0,0.02691909510290828
101009.js,1.0,1.0,-1.0,0.8944271909999159,0.1203858530857692
101085.js,1.0,1.0,-1.0,1.0,0.10469071079869613
101196.js,1.0,1.0,-1.0,1.0,0.011478340719169698
101223.js,1.0,1.0,-1.0,1.0,0.09421683286017896
101529.js,1.0,1.0,-1.0,1.0,0.09421683286017896
101606.js,1.0,1.0,-1.0,1.0,0.03806934938134405
101709.js,1.0,1.0,-1.0,1.0,0.10469071079869613
101800.js,1.0,1.0,-1.0,1.0,0.1217461883894185
102055.js,1.0,1.0,-1.0,1.0,0.09421683286017896
102202.js,1.0,1.0,-1.0,1.0,0.07770873402002615
102658.js,1.0,1.0,-1.0,1.0,0.07770873402002615
102694.js,1.0,1.0,-1.0,1.0,0.07770873402002615
102952.js,1.0,1.0,-1.0,1.0,0.07770873402002615
103438.js,1.0,1.0,-1.0,1.0,0.07770873402002615
103695.js,1.0,1.0,-1.0,1.0,0.07770873402002615
10398.js,1.0,1.0,-1.0,1.0,0.0752157713363797
104155.js,1.0,1.0,-1.0,1.0,0.1749741181689038
104359.js,1.0,1.0,-1.0,0.9779929962439816,0.4563817943642181
11062.js,1.0,1.0,-1.0,1.0,0.2603043000564797
11429.js,1.0,1.0,-1.0,1.0,0.2516087893381316
11761.js,1.0,1.0,-1.0,0.9614619017699396,0.3713458646931302
12224.js,1.0,1.0,-1.0,1.0,0.21385740494084635
1255.js,1.0,1.0,-1.0,1.0,0.2938390064189132
1281.js,1.0,1.0,-1.0,0.943835955122048,0.2984391372685165
13312.js,1.0,1.0,-1.0,1.0,0.15904855449750882
13547.js,1.0,1.0,-1.0,1.0,0.0761386987626881
13575.js,1.0,1.0,-1.0,1.0,0.2602830511530061
13620.js,1.0,1.0,-1.0,1.0,0.1098967455659645
13628.js,1.0,1.0,-1.0,1.0,0.32089691238041856
13693.js,1.0,1.0,-1.0,1.0,0.202042708452068
13749.js,1.0,1.0,-1.0,1.0,0.07390976450199421
1407.js,1.0,1.0,-1.0,0.9907840941940346,0.4737070684422389
14132.js,1.0,1.0,-1.0,1.0,0.07770873402002615
14141.js,1.0,1.0,-1.0,1.0,0.07770873402002615
1432.js,1.0,1.0,-1.0,0.9850031813882892,0.4367780297347604
1460.js,1.0,1.0,-1.0,1.0,0.30462375345649306
14977.js,1.0,1.0,-1.0,1.0,0.1076763804116331
1503.js,1.0,1.0,-1.0,1.0,0.27559803406943106
15292.js,1.0,1.0,-1.0,1.0,0.0761386987626881
15300.js,1.0,1.0,-1.0,1.0,0.02691909510290828
15361.js,1.0,1.0,-1.0,1.0,0.13726099121798924
15580.js,1.0,1.0,-1.0,1.0,0.05710402407201608
16222.js,1.0,1.0,-1.0,1.0,0.0229566814383394
16434.js,1.0,1.0,-1.0,1.0,0.014388861576723854
17034.js,1.0,1.0,-1.0,1.0,0.05710402407201608
17041.js,1.0,1.0,-1.0,1.0,0.05710402407201608
1718.js,1.0,1.0,-1.0,1.0,0.2212586550480078
17294.js,0.9780192938436516,1.0,-1.0,0.9780192938436516,0.08731808887763519
1732.js,1.0,1.0,-1.0,1.0,0.1367449706273321
17569.js,1.0,1.0,-1.0,1.0,0.017025130615174973
1776.js,1.0,1.0,-1.0,1.0,0.21236298927940872
18831.js,1.0,1.0,-1.0,1.0,0.35543078792335064
18887.js,1.0,1.0,-1.0,1.0,0.3520024487212041
19732.js,1.0,1.0,-1.0,1.0,0.16966321698117656
19764.js,1.0,1.0,-1.0,1.0,0.26776202996099363
19765.js,1.0,1.0,-1.0,1.0,0.06104676956673598
19772.js,0.968245836551854,1.0,-1.0,0.968245836551854,0.05710402407201608
19847.js,1.0,1.0,-1.0,1.0,0.190096947918642
19912.js,1.0,1.0,-1.0,1.0,0.11420804814403215
19946.js,1.0,1.0,-1.0,1.0,0.07860336953666276
19970.js,1.0,1.0,-1.0,1.0,0.21210066083891685
20050.js,1.0,1.0,-1.0,1.0,0.06104676956673598
20087.js,1.0,1.0,-1.0,1.0,0.25772277116069553
20226.js,0.8571428571428571,1.0,-1.0,0.8571428571428571,0.10072203103706698
20252.js,1.0,1.0,-1.0,1.0,0.07194430788361927
20268.js,1.0,1.0,-1.0,1.0,0.10215078369104984
20473.js,1.0,1.0,-1.0,1.0,0.2054377162259489
20524.js,1.0,1.0,-1.0,1.0,0.15322617553657475
20564.js,1.0,1.0,-1.0,1.0,0.04815434123430768
20750.js,1.0,1.0,-1.0,1.0,0.159891267401645
20837.js,1.0,1.0,-1.0,1.0,0.2114722130550724
21071.js,1.0,1.0,-1.0,1.0,0.1076763804116331
21163.js,1.0,1.0,-1.0,1.0,0.14356850721551082
21170.js,1.0,1.0,-1.0,1.0,0.15322617553657475
21436.js,1.0,1.0,-1.0,1.0,0.11420804814403215
21552.js,1.0,1.0,-1.0,1.0,0.2357468123778428
22499.js,1.0,1.0,-1.0,1.0,0.2417406103122659
22516.js,1.0,1.0,-1.0,1.0,0.26592327067279803
22829.js,1.0,1.0,-1.0,1.0,0.01203858530857692
22918.js,1.0,1.0,-1.0,1.0,0.05075913250845873
2324.js,1.0,1.0,-1.0,1.0,0.28713701443102163
23866.js,1.0,1.0,-1.0,1.0,0.06216698721602092
23895.js,1.0,1.0,-1.0,1.0,0.06216698721602092
24270.js,1.0,1.0,-1.0,1.0,0.34466967988529423
24292.js,1.0,1.0,-1.0,1.0,0.1278657017388143
24340.js,1.0,1.0,-1.0,1.0,0.10330506647252727
24371.js,1.0,1.0,-1.0,0.9863939238321436,0.19034674690672027
24506.js,1.0,1.0,-1.0,0.9797958971132712,0.1476465946380497
24860.js,1.0,1.0,-1.0,0.9630192533328724,0.4946673838998322
24862.js,1.0,1.0,-1.0,0.995595787050144,0.5566241299408297
24907.js,1.0,1.0,-1.0,0.9986352216323696,0.2508719583497341
24913.js,1.0,1.0,-1.0,1.0,0.4101497967635997
2496.js,1.0,1.0,-1.0,1.0,0.09421683286017896
2614.js,1.0,1.0,-1.0,1.0,0.10151826501691746
2656.js,1.0,1.0,-1.0,1.0,0.20239402624208686
27598.js,1.0,1.0,-1.0,1.0,0.226551443901442
27724.js,1.0,1.0,-1.0,1.0,0.22535532865807584
27838.js,1.0,1.0,-1.0,1.0,0.21859282926346812
27846.js,1.0,1.0,-1.0,1.0,0.21859282926346812
27880.js,1.0,1.0,-1.0,1.0,0.21859282926346812
27891.js,1.0,1.0,-1.0,1.0,0.21859282926346812
27902.js,1.0,1.0,-1.0,1.0,0.21859282926346812
28298.js,1.0,1.0,-1.0,1.0,0.2284160962880643
28473.js,1.0,1.0,-1.0,1.0,0.21859282926346812
28688.js,1.0,1.0,-1.0,1.0,0.21859282926346812
28808.js,1.0,1.0,-1.0,1.0,0.21859282926346812
28877.js,1.0,1.0,-1.0,1.0,0.21859282926346812
28976.js,1.0,1.0,-1.0,1.0,0.21859282926346812
29012.js,1.0,1.0,-1.0,1.0,0.21859282926346812
29132.js,1.0,1.0,-1.0,1.0,0.21859282926346812
29148.js,1.0,1.0,-1.0,1.0,0.21669453555438456
29213.js,1.0,1.0,-1.0,1.0,0.21859282926346812
29258.js,1.0,1.0,-1.0,1.0,0.21859282926346812
29294.js,1.0,1.0,-1.0,1.0,0.21859282926346812
29386.js,1.0,1.0,-1.0,1.0,0.21859282926346812
29408.js,1.0,1.0,-1.0,1.0,0.21859282926346812
29474.js,1.0,1.0,-1.0,1.0,0.21859282926346812
29533.js,1.0,1.0,-1.0,1.0,0.2284160962880643
29540.js,1.0,1.0,-1.0,1.0,0.21859282926346812
29567.js,1.0,1.0,-1.0,1.0,0.21859282926346812
29651.js,1.0,1.0,-1.0,1.0,0.21859282926346812
29704.js,1.0,1.0,-1.0,1.0,0.21859282926346812
2985.js,1.0,1.0,-1.0,1.0,0.04208724930362223
3062.js,1.0,1.0,-1.0,1.0,0.11191907753901596
3174.js,1.0,1.0,-1.0,1.0,0.11478340719169698
3284.js,1.0,1.0,-1.0,1.0,0.10834726777719228
3354.js,1.0,1.0,-1.0,1.0,0.10151826501691746
3391.js,1.0,1.0,-1.0,1.0,0.08633316946034313
3465.js,1.0,1.0,-1.0,1.0,0.02597056905574371
3558.js,1.0,1.0,-1.0,1.0,0.3364836096734725
3653.js,1.0,1.0,-1.0,1.0,0.09870334871066368
3659.js,1.0,1.0,-1.0,1.0,0.08633316946034313
3717.js,1.0,1.0,-1.0,1.0,0.08547960742202877
3718.js,1.0,1.0,-1.0,1.0,0.07645528515426074
3801.js,1.0,1.0,-1.0,1.0,0.04146370002792423
3873.js,1.0,1.0,-1.0,1.0,0.09421683286017896
38760.js,1.0,1.0,-1.0,1.0,0.2284160962880643
38786.js,1.0,1.0,-1.0,1.0,0.21859282926346812
38807.js,1.0,1.0,-1.0,1.0,0.22430015382565205
38815.js,1.0,1.0,-1.0,1.0,0.21859282926346812
38823.js,1.0,1.0,-1.0,1.0,0.21859282926346812
3884.js,1.0,1.0,-1.0,1.0,0.11614391564599093
38872.js,1.0,1.0,-1.0,1.0,0.21859282926346812
38970.js,1.0,1.0,-1.0,1.0,0.21859282926346812
39025.js,1.0,1.0,-1.0,1.0,0.21859282926346812
3924.js,1.0,1.0,-1.0,1.0,0.15254153891648026
39278.js,1.0,1.0,-1.0,1.0,0.22191458723728086
39463.js,1.0,1.0,-1.0,1.0,0.21859282926346812
3949.js,1.0,1.0,-1.0,1.0,0.10834726777719228
39563.js,1.0,1.0,-1.0,1.0,0.21859282926346812
39575.js,1.0,1.0,-1.0,1.0,0.21859282926346812
39641.js,1.0,1.0,-1.0,1.0,0.22430015382565205
39657.js,1.0,1.0,-1.0,1.0,0.21859282926346812
39685.js,1.0,1.0,-1.0,1.0,0.21859282926346812
39689.js,1.0,1.0,-1.0,1.0,0.22430015382565205
39795.js,1.0,1.0,-1.0,1.0,0.21859282926346812
39835.js,1.0,1.0,-1.0,1.0,0.21859282926346812
39845.js,1.0,1.0,-1.0,1.0,0.21859282926346812
39953.js,1.0,1.0,-1.0,1.0,0.21859282926346812
39987.js,1.0,1.0,-1.0,1.0,0.21859282926346812
40095.js,1.0,1.0,-1.0,1.0,0.21859282926346812
40133.js,1.0,1.0,-1.0,1.0,0.21862678196541865
40172.js,1.0,1.0,-1.0,1.0,0.21859282926346812
40283.js,1.0,1.0,-1.0,1.0,0.21859282926346812
40486.js,1.0,1.0,-1.0,1.0,0.21859282926346812
40512.js,1.0,1.0,-1.0,1.0,0.22430015382565205
40938.js,1.0,1.0,-1.0,1.0,0.21859282926346812
40984.js,1.0,1.0,-1.0,1.0,0.21859282926346812
41114.js,1.0,1.0,-1.0,1.0,0.21859282926346812
41351.js,1.0,1.0,-1.0,1.0,0.21859282926346812
41427.js,1.0,1.0,-1.0,1.0,0.21859282926346812
41525.js,1.0,1.0,-1.0,1.0,0.21859282926346812
41703.js,1.0,1.0,-1.0,1.0,0.21859282926346812
41746.js,1.0,1.0,-1.0,1.0,0.21859282926346812
41759.js,1.0,1.0,-1.0,1.0,0.21859282926346812
41785.js,1.0,1.0,-1.0,1.0,0.22430015382565205
41931.js,1.0,1.0,-1.0,1.0,0.22430015382565205
41949.js,1.0,1.0,-1.0,1.0,0.21859282926346812
42393.js,1.0,1.0,-1.0,1.0,0.22430015382565205
42462.js,1.0,1.0,-1.0,1.0,0.21859282926346812
42466.js,1.0,1.0,-1.0,1.0,0.21859282926346812
42622.js,1.0,1.0,-1.0,1.0,0.2284160962880643
42641.js,1.0,1.0,-1.0,1.0,0.21859282926346812
42720.js,1.0,1.0,-1.0,1.0,0.21859282926346812
42722.js,1.0,1.0,-1.0,1.0,0.21859282926346812
42892.js,1.0,1.0,-1.0,1.0,0.21859282926346812
42984.js,1.0,1.0,-1.0,1.0,0.21859282926346812
43082.js,1.0,1.0,-1.0,1.0,0.21859282926346812
43405.js,1.0,1.0,-1.0,1.0,0.2284160962880643
43492.js,1.0,1.0,-1.0,1.0,0.21859282926346812
43566.js,1.0,1.0,-1.0,1.0,0.21859282926346812
43851.js,1.0,1.0,-1.0,1.0,0.21859282926346812
43891.js,1.0,1.0,-1.0,1.0,0.21859282926346812
43898.js,1.0,1.0,-1.0,1.0,0.21859282926346812
43931.js,1.0,1.0,-1.0,1.0,0.21859282926346812
43981.js,1.0,1.0,-1.0,1.0,0.21859282926346812
44079.js,1.0,1.0,-1.0,1.0,0.21859282926346812
44114.js,1.0,1.0,-1.0,1.0,0.21859282926346812
44122.js,1.0,1.0,-1.0,1.0,0.2284160962880643
44139.js,1.0,1.0,-1.0,1.0,0.21859282926346812
44169.js,1.0,1.0,-1.0,1.0,0.2054377162259489
44293.js,1.0,1.0,-1.0,1.0,0.21859282926346812
44333.js,1.0,1.0,-1.0,1.0,0.21859282926346812
44431.js,1.0,1.0,-1.0,1.0,0.21859282926346812
44471.js,1.0,1.0,-1.0,1.0,0.21859282926346812
44473.js,1.0,1.0,-1.0,1.0,0.21859282926346812
44518.js,1.0,1.0,-1.0,1.0,0.21859282926346812
44553.js,1.0,1.0,-1.0,1.0,0.21859282926346812
44575.js,1.0,1.0,-1.0,1.0,0.21859282926346812
44576.js,1.0,1.0,-1.0,1.0,0.21859282926346812
44624.js,1.0,1.0,-1.0,1.0,0.21859282926346812
44685.js,1.0,1.0,-1.0,1.0,0.21859282926346812
44963.js,1.0,1.0,-1.0,1.0,0.21859282926346812
45063.js,1.0,1.0,-1.0,1.0,0.21859282926346812
45101.js,1.0,1.0,-1.0,1.0,0.22711994083632664
45107.js,1.0,1.0,-1.0,1.0,0.21859282926346812
45154.js,1.0,1.0,-1.0,1.0,0.21859282926346812
45220.js,1.0,1.0,-1.0,1.0,0.21859282926346812
45243.js,1.0,1.0,-1.0,1.0,0.21859282926346812
45324.js,1.0,1.0,-1.0,1.0,0.22430015382565205
45333.js,1.0,1.0,-1.0,1.0,0.22430015382565205
46.js,1.0,1.0,-1.0,1.0,0.4166988442500317
46432.js,1.0,1.0,-1.0,1.0,0.18257418583505536
4654.js,1.0,1.0,-1.0,1.0,0.14244246232238394
4676.js,1.0,1.0,-1.0,1.0,0.32136047869915835
47154.js,1.0,1.0,-1.0,1.0,0.30620470679558165
47289.js,1.0,1.0,-1.0,1.0,0.10151826501691746
47656.js,1.0,1.0,-1.0,1.0,0.09325048082403138
49340.js,1.0,1.0,-1.0,1.0,0.09789261269488472
49662.js,1.0,1.0,-1.0,1.0,0.3128624638470646
49680.js,1.0,1.0,-1.0,1.0,0.1203858530857692
50084.js,1.0,1.0,-1.0,0.9967999917948296,0.559107121729101
50382.js,0.9974715509474418,1.0,-1.0,0.8203881234127376,0.20832125568856047
50529.js,1.0,1.0,-1.0,1.0,0.13459547551454135
50562.js,1.0,1.0,-1.0,1.0,0.10777829844714387
50570.js,1.0,1.0,-1.0,1.0,0.13459547551454135
50605.js,1.0,1.0,-1.0,1.0,0.4089412425049349
50674.js,1.0,1.0,-1.0,1.0,0.3788011855370192
51042.js,1.0,1.0,-1.0,0.9767585154948384,0.4836533259785721
51051.js,1.0,1.0,-1.0,0.989749243780543,0.4862346500110207
51153.js,0.9746835443037974,1.0,-1.0,0.9357434781465525,0.3361784650661658
51297.js,1.0,1.0,-1.0,0.9755335594323596,0.32007904162155865
51515.js,1.0,1.0,-1.0,1.0,0.2985305817483883
51803.js,1.0,1.0,-1.0,1.0,0.02098299754613038
51903.js,1.0,1.0,-1.0,1.0,0.02111707557199835
5191.js,1.0,1.0,-1.0,1.0,0.16173874084416226
51915.js,1.0,1.0,-1.0,1.0,0.02221194129536051
51925.js,1.0,1.0,-1.0,1.0,0.019550613012972017
51930.js,1.0,1.0,-1.0,1.0,0.0220560660972768
52115.js,1.0,1.0,-1.0,1.0,0.039762138624377205
5217.js,1.0,1.0,-1.0,0.9960238411119948,0.3813629257799193
52191.js,1.0,1.0,-1.0,1.0,0.03730019232961255
52286.js,1.0,1.0,-1.0,1.0,0.03931785497463923
52340.js,1.0,1.0,-1.0,1.0,0.03657584779797275
52423.js,1.0,1.0,-1.0,1.0,0.033770007400909
5246.js,1.0,1.0,-1.0,1.0,0.3619236835686263
52733.js,1.0,1.0,-1.0,0.9672131147540984,0.4386852644276354
52883.js,1.0,1.0,-1.0,1.0,0.41123775091936055
52943.js,1.0,1.0,-1.0,1.0,0.20331002513318688
53065.js,1.0,1.0,-1.0,1.0,0.1504240538591805
53399.js,1.0,1.0,-1.0,1.0,0.41038011129779706
53620.js,1.0,1.0,-1.0,1.0,0.3224912461831085
53659.js,1.0,1.0,-1.0,1.0,0.2499733013966422
53673.js,1.0,1.0,-1.0,1.0,0.29917862597710065
53701.js,1.0,1.0,-1.0,1.0,0.3071375325463843
53741.js,1.0,1.0,-1.0,1.0,0.2849696992113355
53980.js,1.0,1.0,-1.0,0.9129614872757104,0.22430015382565205
54129.js,1.0,1.0,-1.0,0.932248806831008,0.3612650306357487
54409.js,1.0,1.0,-1.0,1.0,0.27440332153463365
54693.js,1.0,1.0,-1.0,1.0,0.33348585374091805
54815.js,1.0,1.0,-1.0,1.0,0.39248837702130174
54985.js,1.0,1.0,-1.0,1.0,0.36867574715268586
55287.js,1.0,1.0,-1.0,1.0,0.29887066014847385
55460.js,1.0,1.0,-1.0,1.0,0.20722329072006973
55478.js,1.0,1.0,-1.0,1.0,0.30620470679558165
55570.js,1.0,1.0,-1.0,1.0,0.3205372361261746
5565.js,1.0,1.0,-1.0,1.0,0.16252090166578842
55856.js,1.0,1.0,-1.0,0.9881263587150184,0.4801253687698575
55876.js,1.0,1.0,-1.0,0.9904419592915452,0.42032554999418703
55879.js,1.0,1.0,-1.0,1.0,0.2663269962773385
56095.js,1.0,1.0,-1.0,1.0,0.31571432556449675
56601.js,1.0,1.0,-1.0,0.8684168428648436,0.3293165196071991
57025.js,1.0,1.0,-1.0,0.6691802431349851,0.2087381591813683
